Rank 	Metropolitan statistical area 	2019 estimate 	2010 Census 	% change 	Encompassing combined statistical area
285	Florence-Muscle Shoals, AL MSA 	147970	147137	+0.57%	
286	Valdosta, GA MSA 	147292	139588	+5.52%	
287	Albany, GA MSA 	146726	153857	−4.63%	
288	Rocky Mount, NC MSA 	145770	152392	−4.35% 	Rocky Mount-Wilson-Roanoke Rapids, NC CSA
289	Dalton, GA MSA 	144724	142227	+1.76% 	Chattanooga-Cleveland-Dalton, TN-GA-AL CSA
290	Sioux City, IA-NE-SD MSA 	144701	143577	+0.78%	
291	Flagstaff, AZ MSA 	143476	134421	+6.74%	
292	Morristown, TN MSA 	142749	136608	+4.50% 	Knoxville-Morristown-Sevierville, TN CSA
293	Logan, UT-ID MSA 	142165	125442	+13.33%	
294	Rapid City, SD MSA 	142107	126382	+12.44% 	Rapid City-Spearfish, SD CSA
295	Lebanon, PA MSA 	141793	133568	+6.16% 	Harrisburg-York-Lebanon, PA CSA
296	Winchester, VA-WV MSA 	140566	128472	+9.41% 	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
297	Sumter, SC MSA 	140466	142427	−1.38%	
298	Morgantown, WV MSA 	139044	129709	+7.20% 	Morgantown-Fairmont, WV CSA
299	Wheeling, WV-OH MSA 	138948	147950	−6.08%	
300	Napa, CA MSA 	137744	136484	+0.92% 	San Jose-San Francisco-Oakland, CA CSA
301	La Crosse-Onalaska, WI-MN MSA 	136616	133665	+2.21%	
302	Sherman-Denison, TX MSA 	136212	120877	+12.69% 	Dallas-Fort Worth, TX-OK CSA
303	Carbondale-Marion, IL MSA 	135764	139157	−2.44%	
304	Harrisonburg, VA MSA 	134964	125228	+7.77% 	Harrisonburg-Staunton-Waynesboro, VA CSA
305	Hammond, LA MSA 	134758	121097	+11.28% 	New Orleans-Metairie-Hammond, LA-MS CSA
306	Battle Creek, MI MSA 	134159	136146	−1.46% 	Kalamazoo-Battle Creek-Portage, MI CSA
307	Springfield, OH MSA 	134083	138333	−3.07% 	Dayton-Springfield-Kettering, OH CSA
308	Jonesboro, AR MSA 	133860	121026	+10.60% 	Jonesboro-Paragould, AR CSA
309	The Villages, FL MSA 	132420	93420	+41.75% 	Orlando-Lakeland-Deltona, FL CSA
310	Manhattan, KS MSA 	130285	127081	+2.52%	
311	Johnstown, PA MSA 	130192	143679	−9.39% 	Johnstown-Somerset, PA CSA
312	Albany-Lebanon, OR MSA 	129749	116672	+11.21% 	Portland-Vancouver-Salem, OR-WA CSA
313	Mount Vernon-Anacortes, WA MSA 	129205	116901	+10.53% 	Seattle-Tacoma, WA CSA
314	Bismarck, ND MSA 	128949	110625	+16.56%	
315	Lawton, OK MSA 	126415	130291	−2.97%	
316	Sierra Vista-Douglas, AZ MSA 	125922	131346	−4.13%	
317	St. Joseph, MO-KS MSA 	125223	127329	−1.65% 	Kansas City-Overland Park-Kansas City, MO-KS CSA
318	Glens Falls, NY MSA 	125148	128923	−2.93% 	Albany-Schenectady, NY CSA
319	Pittsfield, MA MSA 	124944	131219	−4.78%	
320	Cleveland, TN MSA 	124942	115788	+7.91% 	Chattanooga-Cleveland-Dalton, TN-GA-AL CSA
321	New Bern, NC MSA 	124284	126802	−1.99% 	New Bern-Morehead City, NC CSA
322	Farmington, NM MSA 	123958	130044	−4.68%	
323	Ames, IA MSA 	123351	115848	+6.48% 	Des Moines-Ames-West Des Moines, IA CSA
324	Goldsboro, NC MSA 	123131	122623	+0.41%	
325	Staunton, VA MSA 	123120	118502	+3.90% 	Harrisonburg-Staunton-Waynesboro, VA CSA
326	Lawrence, KS MSA 	122259	110826	+10.32% 	Kansas City-Overland Park-Kansas City, MO-KS CSA
327	San Angelo, TX MSA 	122027	112966	+8.02%	
328	Altoona, PA MSA 	121829	127089	−4.14%	
329	Mansfield, OH MSA 	121154	124475	−2.67% 	Mansfield-Ashland-Bucyrus, OH CSA
330	Wenatchee, WA MSA 	120629	110884	+8.79%	
331	Missoula, MT MSA 	119600	109299	+9.42%	
332	Owensboro, KY MSA 	119440	114752	+4.09%	
333	Brunswick, GA MSA 	118779	112370	+5.70%	
334	Weirton-Steubenville, WV-OH MSA 	116074	124454	−6.73% 	Pittsburgh-New Castle-Weirton, PA-OH-WV CSA
335	Beckley, WV MSA 	115767	124898	−7.31%	
336	Sheboygan, WI MSA 	115340	115507	−0.14%	
337	Muncie, IN MSA 	114135	117671	−3.00% 	Indianapolis-Carmel-Muncie, IN CSA
338	Anniston-Oxford, AL MSA 	113605	118572	−4.19%	
339	California-Lexington Park, MD MSA 	113510	105151	+7.95% 	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
340	Williamsport, PA MSA 	113299	116111	−2.42% 	Williamsport-Lock Haven, PA CSA
341	Twin Falls, ID MSA 	111290	99604	+11.73%	
342	Longview, WA MSA 	110593	102410	+7.99% 	Portland-Vancouver-Salem, OR-WA CSA
343	Michigan City-La Porte, IN MSA 	109888	111467	−1.42% 	Chicago-Naperville, IL-IN-WI CSA
344	Kankakee, IL MSA 	109862	113449	−3.16% 	Chicago-Naperville, IL-IN-WI CSA
345	Watertown-Fort Drum, NY MSA 	109834	116229	−5.50%	
346	Lewiston-Auburn, ME MSA 	108277	107702	+0.53% 	Portland-Lewiston-South Portland, ME CSA
347	Sebring-Avon Park, FL MSA 	106221	98786	+7.53%	
348	Decatur, IL MSA 	104009	110768	−6.10%	
349	Fond du Lac, WI MSA 	103403	101633	+1.74%	
350	Bay City, MI MSA 	103126	107771	−4.31% 	Saginaw-Midland-Bay City, MI CSA
351	Gettysburg, PA MSA 	103009	101407	+1.58% 	Harrisburg-York-Lebanon, PA CSA
352	Lima, OH MSA 	102351	106331	−3.74% 	Lima-Van Wert-Celina, OH CSA
353	Gadsden, AL MSA 	102268	104430	−2.07%	
354	Ithaca, NY MSA 	102180	101564	+0.61% 	Ithaca-Cortland, NY CSA
355	Mankato, MN MSA 	101927	96740	+5.36% 	Mankato-New Ulm, MN CSA
356	Grand Forks, ND-MN MSA 	100815	98461	+2.39%	
357	Victoria, TX MSA 	99742	94003	+6.11% 	Victoria-Port Lavaca, TX CSA
358	Cheyenne, WY MSA 	99500	91738	+8.46%	
359	Hot Springs, AR MSA 	99386	96024	+3.50% 	Hot Springs-Malvern, AR CSA
360	Rome, GA MSA 	98498	96317	+2.26% 	Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA
361	Dubuque, IA MSA 	97311	93653	+3.91%	
362	Cumberland, MD-WV MSA 	97284	103299	−5.82%	
363	Fairbanks, AK MSA 	96849	97581	−0.75%	
364	Cape Girardeau, MO-IL MSA 	96765	96275	+0.51% 	Cape Girardeau-Sikeston, MO-IL CSA
365	Pocatello, ID MSA 	95489	90656	+5.33%	
366	Corvallis, OR MSA 	93053	85579	+8.73% 	Portland-Vancouver-Salem, OR-WA CSA
367	Ocean City, NJ MSA 	92039	97265	−5.37% 	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
368	Parkersburg-Vienna, WV MSA 	89339	92673	−3.60% 	Parkersburg-Marietta-Vienna, WV-OH CSA
369	Pine Bluff, AR MSA 	87804	100258	−12.42% 	Little Rock-North Little Rock, AR CSA
370	Grants Pass, OR MSA 	87487	82713	+5.77% 	Medford-Grants Pass, OR CSA
371	Columbus, IN MSA 	83779	76794	+9.10% 	Indianapolis-Carmel-Muncie, IN CSA
372	Elmira, NY MSA 	83456	88830	−6.05% 	Elmira-Corning, NY CSA
373	Bloomsburg-Berwick, PA MSA 	83194	85562	−2.77% 	Bloomsburg-Berwick-Sunbury, PA CSA
374	Midland, MI MSA 	83156	83629	−0.57% 	Saginaw-Midland-Bay City, MI CSA
375	Kokomo, IN MSA 	82544	82752	−0.25% 	Kokomo-Peru, IN CSA
376	Great Falls, MT MSA 	81366	81327	+0.05%	
377	Hinesville, GA MSA 	80994	77917	+3.95% 	Savannah-Hinesville-Statesboro, GA CSA
378	Casper, WY MSA 	79858	75450	+5.84%	
379	Danville, IL MSA 	75758	81625	−7.19%	
380	Grand Island, NE MSA 	75553	72726	+3.89%	
381	Lewiston, ID-WA MSA 	62990	60888	+3.45%	
382	Enid, OK MSA 	61056	60580	+0.79%	
383	Walla Walla, WA MSA 	60760	58781	+3.37%	
384	Carson City, NV MSA 	55916	55274	+1.16% 	Reno-Carson City-Fernley, NV CSA
