NAICS Code,NAICS Description,Total Employment,State
52,Finance and Insurance,107432,Colorado
53,Real Estate and Rental and Leasing,47857,Colorado
54,"Professional, Scientific, and Technical Services",164123,Colorado
55,Management of Companies and Enterprises,45405,Colorado
56,Administrative and Support and Waste Management and Remediation Services,187190,Colorado
61,Educational Services,37255,Colorado
62,Health Care and Social Assistance,229705,Colorado
71,"Arts, Entertainment, and Recreation",45982,Colorado
72,Accommodation and Food Services,229478,Colorado
81,Other Services (except Public Administration),95106,Colorado
99,Unclassified,434,Colorado
--,Total,1585843,Connecticut
11,"Forestry, Fishing, Hunting, and Agriculture Support",[e],Connecticut
21,Mining,1137,Connecticut
22,Utilities,9614,Connecticut
23,Construction,65767,Connecticut
31-33,Manufacturing,182138,Connecticut
42,Wholesale Trade,80323,Connecticut
44-45,Retail Trade,200828,Connecticut
48-49,Transportation and Warehousing,39581,Connecticut
51,Information,37149,Connecticut
52,Finance and Insurance,169053,Connecticut
53,Real Estate and Rental and Leasing,23852,Connecticut
54,"Professional, Scientific, and Technical Services",103307,Connecticut
55,Management of Companies and Enterprises,39505,Connecticut
56,Administrative and Support and Waste Management and Remediation Services,107244,Connecticut
61,Educational Services,59225,Connecticut
62,Health Care and Social Assistance,245242,Connecticut
71,"Arts, Entertainment, and Recreation",22924,Connecticut
72,Accommodation and Food Services,133164,Connecticut
81,Other Services (except Public Administration),65234,Connecticut
99,Unclassified,[e],Connecticut
--,Total,388250,Delaware
11,"Forestry, Fishing, Hunting, and Agriculture Support",[c],Delaware
21,Mining,196,Delaware
22,Utilities,2611,Delaware
23,Construction,25695,Delaware
31-33,Manufacturing,33155,Delaware
42,Wholesale Trade,20165,Delaware
44-45,Retail Trade,56439,Delaware
48-49,Transportation and Warehousing,14899,Delaware
51,Information,9332,Delaware
52,Finance and Insurance,35487,Delaware
53,Real Estate and Rental and Leasing,6601,Delaware
54,"Professional, Scientific, and Technical Services",27575,Delaware
55,Management of Companies and Enterprises,15217,Delaware
56,Administrative and Support and Waste Management and Remediation Services,24074,Delaware
61,Educational Services,6511,Delaware
62,Health Care and Social Assistance,53502,Delaware
71,"Arts, Entertainment, and Recreation",7031,Delaware
72,Accommodation and Food Services,32049,Delaware
81,Other Services (except Public Administration),17421,Delaware
99,Unclassified,[c],Delaware
--,Total,446576,District of Columbia
11,"Forestry, Fishing, Hunting, and Agriculture Support",[a],District of Columbia
21,Mining,[b],District of Columbia
22,Utilities,1862,District of Columbia
23,Construction,6229,District of Columbia
31-33,Manufacturing,1718,District of Columbia
42,Wholesale Trade,5980,District of Columbia
44-45,Retail Trade,20145,District of Columbia
48-49,Transportation and Warehousing,3692,District of Columbia
51,Information,23338,District of Columbia
52,Finance and Insurance,19613,District of Columbia
53,Real Estate and Rental and Leasing,9606,District of Columbia
54,"Professional, Scientific, and Technical Services",88526,District of Columbia
55,Management of Companies and Enterprises,4142,District of Columbia
56,Administrative and Support and Waste Management and Remediation Services,30207,District of Columbia
61,Educational Services,47526,District of Columbia
62,Health Care and Social Assistance,60621,District of Columbia
71,"Arts, Entertainment, and Recreation",7155,District of Columbia
72,Accommodation and Food Services,49414,District of Columbia
81,Other Services (except Public Administration),66636,District of Columbia
99,Unclassified,[c],District of Columbia
--,Total,7535515,Florida
11,"Forestry, Fishing, Hunting, and Agriculture Support",14221,Florida
21,Mining,5582,Florida
22,Utilities,31973,Florida
23,Construction,542849,Florida
31-33,Manufacturing,372151,Florida
42,Wholesale Trade,319971,Florida
44-45,Retail Trade,1056865,Florida
48-49,Transportation and Warehousing,222194,Florida
51,Information,175624,Florida
52,Finance and Insurance,388417,Florida
53,Real Estate and Rental and Leasing,177458,Florida
54,"Professional, Scientific, and Technical Services",455324,Florida
55,Management of Companies and Enterprises,137745,Florida
56,Administrative and Support and Waste Management and Remediation Services,1408215,Florida
61,Educational Services,123003,Florida
62,Health Care and Social Assistance,877821,Florida
71,"Arts, Entertainment, and Recreation",163066,Florida
72,Accommodation and Food Services,742060,Florida
81,Other Services (except Public Administration),319579,Florida
99,Unclassified,1397,Florida
--,Total,3623210,Georgia
11,"Forestry, Fishing, Hunting, and Agriculture Support",8200,Georgia
21,Mining,6594,Georgia
22,Utilities,21157,Georgia
23,Construction,213778,Georgia
31-33,Manufacturing,430697,Georgia
42,Wholesale Trade,207204,Georgia
44-45,Retail Trade,478499,Georgia
48-49,Transportation and Warehousing,164058,Georgia
51,Information,124433,Georgia
52,Finance and Insurance,179263,Georgia
53,Real Estate and Rental and Leasing,67056,Georgia
54,"Professional, Scientific, and Technical Services",222435,Georgia
55,Management of Companies and Enterprises,111165,Georgia
56,Administrative and Support and Waste Management and Remediation Services,355047,Georgia
61,Educational Services,72189,Georgia
62,Health Care and Social Assistance,408413,Georgia
71,"Arts, Entertainment, and Recreation",41911,Georgia
72,Accommodation and Food Services,354332,Georgia
81,Other Services (except Public Administration),155931,Georgia
99,Unclassified,848,Georgia
--,Total,512543,Hawaii
11,"Forestry, Fishing, Hunting, and Agriculture Support",[e],Hawaii
21,Mining,[c],Hawaii
22,Utilities,2808,Hawaii
23,Construction,32120,Hawaii
31-33,Manufacturing,15211,Hawaii
42,Wholesale Trade,20799,Hawaii
44-45,Retail Trade,72579,Hawaii
48-49,Transportation and Warehousing,29976,Hawaii
51,Information,10487,Hawaii
52,Finance and Insurance,20097,Hawaii
53,Real Estate and Rental and Leasing,16139,Hawaii
54,"Professional, Scientific, and Technical Services",25820,Hawaii
55,Management of Companies and Enterprises,5684,Hawaii
56,Administrative and Support and Waste Management and Remediation Services,41752,Hawaii
61,Educational Services,17432,Hawaii
62,Health Care and Social Assistance,61904,Hawaii
71,"Arts, Entertainment, and Recreation",12388,Hawaii
72,Accommodation and Food Services,101183,Hawaii
81,Other Services (except Public Administration),25661,Hawaii
99,Unclassified,[b],Hawaii
--,Total,546251,Idaho
11,"Forestry, Fishing, Hunting, and Agriculture Support",3606,Idaho
21,Mining,2202,Idaho
22,Utilities,3491,Idaho
23,Construction,52804,Idaho
31-33,Manufacturing,64212,Idaho
42,Wholesale Trade,23809,Idaho
44-45,Retail Trade,80795,Idaho
48-49,Transportation and Warehousing,16045,Idaho
51,Information,14343,Idaho
52,Finance and Insurance,22162,Idaho
53,Real Estate and Rental and Leasing,8414,Idaho
54,"Professional, Scientific, and Technical Services",34258,Idaho
55,Management of Companies and Enterprises,9036,Idaho
56,Administrative and Support and Waste Management and Remediation Services,47835,Idaho
61,Educational Services,8641,Idaho
62,Health Care and Social Assistance,72261,Idaho
71,"Arts, Entertainment, and Recreation",7898,Idaho
72,Accommodation and Food Services,54345,Idaho
81,Other Services (except Public Administration),19910,Idaho
99,Unclassified,184,Idaho
--,Total,5357466,Illinois
11,"Forestry, Fishing, Hunting, and Agriculture Support",1606,Illinois
21,Mining,10164,Illinois
22,Utilities,26039,Illinois
23,Construction,261871,Illinois
31-33,Manufacturing,666711,Illinois
42,Wholesale Trade,315469,Illinois
44-45,Retail Trade,652262,Illinois
48-49,Transportation and Warehousing,224871,Illinois
51,Information,129050,Illinois
52,Finance and Insurance,352619,Illinois
53,Real Estate and Rental and Leasing,87547,Illinois
54,"Professional, Scientific, and Technical Services",376748,Illinois
55,Management of Companies and Enterprises,159020,Illinois
56,Administrative and Support and Waste Management and Remediation Services,460768,Illinois
61,Educational Services,139744,Illinois
62,Health Care and Social Assistance,702964,Illinois
71,"Arts, Entertainment, and Recreation",71872,Illinois
72,Accommodation and Food Services,457399,Illinois
81,Other Services (except Public Administration),260050,Illinois
99,Unclassified,692,Illinois
--,Total,2673010,Indiana
11,"Forestry, Fishing, Hunting, and Agriculture Support",1498,Indiana
21,Mining,5882,Indiana
22,Utilities,13794,Indiana
23,Construction,146907,Indiana
31-33,Manufacturing,557359,Indiana
42,Wholesale Trade,118402,Indiana
44-45,Retail Trade,350633,Indiana
48-49,Transportation and Warehousing,113377,Indiana
51,Information,45342,Indiana
52,Finance and Insurance,111719,Indiana
53,Real Estate and Rental and Leasing,36622,Indiana
54,"Professional, Scientific, and Technical Services",112824,Indiana
55,Management of Companies and Enterprises,42957,Indiana
56,Administrative and Support and Waste Management and Remediation Services,176391,Indiana
61,Educational Services,52096,Indiana
62,Health Care and Social Assistance,366768,Indiana
71,"Arts, Entertainment, and Recreation",33068,Indiana
72,Accommodation and Food Services,254282,Indiana
81,Other Services (except Public Administration),132781,Indiana
99,Unclassified,308,Indiana
--,Total,1295258,Iowa
11,"Forestry, Fishing, Hunting, and Agriculture Support",1536,Iowa
21,Mining,1964,Iowa
22,Utilities,7869,Iowa
23,Construction,64574,Iowa
31-33,Manufacturing,227492,Iowa
42,Wholesale Trade,64474,Iowa
44-45,Retail Trade,181376,Iowa
48-49,Transportation and Warehousing,52647,Iowa
51,Information,34704,Iowa
52,Finance and Insurance,93013,Iowa
53,Real Estate and Rental and Leasing,14188,Iowa
54,"Professional, Scientific, and Technical Services",43065,Iowa
55,Management of Companies and Enterprises,17035,Iowa
56,Administrative and Support and Waste Management and Remediation Services,72002,Iowa
61,Educational Services,34920,Iowa
62,Health Care and Social Assistance,194580,Iowa
71,"Arts, Entertainment, and Recreation",22688,Iowa
72,Accommodation and Food Services,111777,Iowa
81,Other Services (except Public Administration),55132,Iowa
99,Unclassified,222,Iowa
--,Total,1142680,Kansas
11,"Forestry, Fishing, Hunting, and Agriculture Support",672,Kansas
21,Mining,9810,Kansas
22,Utilities,6828,Kansas
23,Construction,67107,Kansas
31-33,Manufacturing,176444,Kansas
42,Wholesale Trade,57057,Kansas
44-45,Retail Trade,150783,Kansas
48-49,Transportation and Warehousing,44373,Kansas
51,Information,45244,Kansas
52,Finance and Insurance,59286,Kansas
53,Real Estate and Rental and Leasing,15948,Kansas
54,"Professional, Scientific, and Technical Services",57742,Kansas
55,Management of Companies and Enterprises,19259,Kansas
56,Administrative and Support and Waste Management and Remediation Services,67478,Kansas
61,Educational Services,17790,Kansas
62,Health Care and Social Assistance,174519,Kansas
71,"Arts, Entertainment, and Recreation",13321,Kansas
72,Accommodation and Food Services,106234,Kansas
81,Other Services (except Public Administration),52568,Kansas
99,Unclassified,217,Kansas
--,Total,1552012,Kentucky
11,"Forestry, Fishing, Hunting, and Agriculture Support",[g],Kentucky
21,Mining,22665,Kentucky
22,Utilities,8426,Kentucky
23,Construction,85789,Kentucky
31-33,Manufacturing,256670,Kentucky
42,Wholesale Trade,69149,Kentucky
44-45,Retail Trade,227872,Kentucky
48-49,Transportation and Warehousing,80529,Kentucky
51,Information,32647,Kentucky
52,Finance and Insurance,67595,Kentucky
53,Real Estate and Rental and Leasing,19397,Kentucky
54,"Professional, Scientific, and Technical Services",63528,Kentucky
55,Management of Companies and Enterprises,27014,Kentucky
56,Administrative and Support and Waste Management and Remediation Services,91667,Kentucky
61,Educational Services,27934,Kentucky
62,Health Care and Social Assistance,231177,Kentucky
71,"Arts, Entertainment, and Recreation",17789,Kentucky
72,Accommodation and Food Services,150307,Kentucky
81,Other Services (except Public Administration),69883,Kentucky
99,Unclassified,[e],Kentucky
--,Total,1593033,Louisiana
11,"Forestry, Fishing, Hunting, and Agriculture Support",4400,Louisiana
21,Mining,49273,Louisiana
22,Utilities,10961,Louisiana
23,Construction,132693,Louisiana
31-33,Manufacturing,141459,Louisiana
42,Wholesale Trade,72015,Louisiana
44-45,Retail Trade,230212,Louisiana
48-49,Transportation and Warehousing,63047,Louisiana
51,Information,30271,Louisiana
52,Finance and Insurance,63751,Louisiana
53,Real Estate and Rental and Leasing,32261,Louisiana
54,"Professional, Scientific, and Technical Services",85586,Louisiana
55,Management of Companies and Enterprises,16692,Louisiana
56,Administrative and Support and Waste Management and Remediation Services,110565,Louisiana
61,Educational Services,32208,Louisiana
62,Health Care and Social Assistance,252970,Louisiana
71,"Arts, Entertainment, and Recreation",25441,Louisiana
72,Accommodation and Food Services,165998,Louisiana
81,Other Services (except Public Administration),72890,Louisiana
99,Unclassified,340,Louisiana
--,Total,508163,Maine
11,"Forestry, Fishing, Hunting, and Agriculture Support",3835,Maine
21,Mining,[c],Maine
22,Utilities,[g],Maine
23,Construction,28862,Maine
31-33,Manufacturing,59322,Maine
42,Wholesale Trade,19170,Maine
44-45,Retail Trade,84934,Maine
48-49,Transportation and Warehousing,14487,Maine
51,Information,12216,Maine
52,Finance and Insurance,28135,Maine
53,Real Estate and Rental and Leasing,6899,Maine
54,"Professional, Scientific, and Technical Services",23974,Maine
55,Management of Companies and Enterprises,7067,Maine
56,Administrative and Support and Waste Management and Remediation Services,27825,Maine
61,Educational Services,13812,Maine
62,Health Care and Social Assistance,101078,Maine
71,"Arts, Entertainment, and Recreation",6992,Maine
72,Accommodation and Food Services,47104,Maine
81,Other Services (except Public Administration),19990,Maine
99,Unclassified,[b],Maine
--,Total,2232215,Maryland
11,"Forestry, Fishing, Hunting, and Agriculture Support",937,Maryland
21,Mining,1814,Maryland
22,Utilities,9893,Maryland
23,Construction,196688,Maryland
31-33,Manufacturing,131108,Maryland
42,Wholesale Trade,98316,Maryland
44-45,Retail Trade,307080,Maryland
48-49,Transportation and Warehousing,68080,Maryland
51,Information,61372,Maryland
52,Finance and Insurance,125459,Maryland
53,Real Estate and Rental and Leasing,50215,Maryland
54,"Professional, Scientific, and Technical Services",228100,Maryland
55,Management of Companies and Enterprises,50965,Maryland
56,Administrative and Support and Waste Management and Remediation Services,176588,Maryland
61,Educational Services,67201,Maryland
62,Health Care and Social Assistance,310520,Maryland
71,"Arts, Entertainment, and Recreation",37338,Maryland
72,Accommodation and Food Services,193867,Maryland
81,Other Services (except Public Administration),116200,Maryland
99,Unclassified,474,Maryland
--,Total,3044080,Massachusetts
11,"Forestry, Fishing, Hunting, and Agriculture Support",1178,Massachusetts
21,Mining,1247,Massachusetts
22,Utilities,12200,Massachusetts
23,Construction,132559,Massachusetts
31-33,Manufacturing,275180,Massachusetts
42,Wholesale Trade,144638,Massachusetts
44-45,Retail Trade,368028,Massachusetts
48-49,Transportation and Warehousing,77550,Massachusetts
51,Information,118145,Massachusetts
52,Finance and Insurance,211046,Massachusetts
53,Real Estate and Rental and Leasing,48917,Massachusetts
54,"Professional, Scientific, and Technical Services",260770,Massachusetts
55,Management of Companies and Enterprises,103788,Massachusetts
56,Administrative and Support and Waste Management and Remediation Services,186355,Massachusetts
61,Educational Services,182257,Massachusetts
62,Health Care and Social Assistance,499919,Massachusetts
71,"Arts, Entertainment, and Recreation",48761,Massachusetts
72,Accommodation and Food Services,247654,Massachusetts
81,Other Services (except Public Administration),122149,Massachusetts
99,Unclassified,1739,Massachusetts
--,Total,3819537,Michigan
11,"Forestry, Fishing, Hunting, and Agriculture Support",3073,Michigan
21,Mining,5937,Michigan
22,Utilities,23521,Michigan
23,Construction,156318,Michigan
31-33,Manufacturing,614888,Michigan
42,Wholesale Trade,173601,Michigan
44-45,Retail Trade,489183,Michigan
48-49,Transportation and Warehousing,105341,Michigan
51,Information,81810,Michigan
52,Finance and Insurance,167343,Michigan
53,Real Estate and Rental and Leasing,59345,Michigan
54,"Professional, Scientific, and Technical Services",302222,Michigan
55,Management of Companies and Enterprises,118250,Michigan
56,Administrative and Support and Waste Management and Remediation Services,341956,Michigan
61,Educational Services,66814,Michigan
62,Health Care and Social Assistance,541170,Michigan
71,"Arts, Entertainment, and Recreation",54564,Michigan
72,Accommodation and Food Services,338092,Michigan
81,Other Services (except Public Administration),173930,Michigan
99,Unclassified,2179,Michigan
--,Total,2476354,Minnesota
11,"Forestry, Fishing, Hunting, and Agriculture Support",2188,Minnesota
21,Mining,5025,Minnesota
22,Utilities,11646,Minnesota
23,Construction,126560,Minnesota
31-33,Manufacturing,336776,Minnesota
42,Wholesale Trade,136824,Minnesota
44-45,Retail Trade,312998,Minnesota
48-49,Transportation and Warehousing,77943,Minnesota
51,Information,62171,Minnesota
52,Finance and Insurance,152310,Minnesota
53,Real Estate and Rental and Leasing,38956,Minnesota
54,"Professional, Scientific, and Technical Services",138683,Minnesota
55,Management of Companies and Enterprises,102266,Minnesota
56,Administrative and Support and Waste Management and Remediation Services,147928,Minnesota
61,Educational Services,59162,Minnesota
62,Health Care and Social Assistance,390109,Minnesota
71,"Arts, Entertainment, and Recreation",40325,Minnesota
72,Accommodation and Food Services,217588,Minnesota
81,Other Services (except Public Administration),116369,Minnesota
99,Unclassified,527,Minnesota
--,Total,940609,Mississippi
11,"Forestry, Fishing, Hunting, and Agriculture Support",[i],Mississippi
21,Mining,4240,Mississippi
22,Utilities,8444,Mississippi
23,Construction,54762,Mississippi
31-33,Manufacturing,172656,Mississippi
42,Wholesale Trade,37852,Mississippi
44-45,Retail Trade,149045,Mississippi
48-49,Transportation and Warehousing,33031,Mississippi
51,Information,17136,Mississippi
52,Finance and Insurance,34550,Mississippi
53,Real Estate and Rental and Leasing,10814,Mississippi
54,"Professional, Scientific, and Technical Services",32634,Mississippi
55,Management of Companies and Enterprises,8924,Mississippi
56,Administrative and Support and Waste Management and Remediation Services,49315,Mississippi
61,Educational Services,17381,Mississippi
62,Health Care and Social Assistance,143368,Mississippi
71,"Arts, Entertainment, and Recreation",8151,Mississippi
72,Accommodation and Food Services,112012,Mississippi
81,Other Services (except Public Administration),40829,Mississippi
99,Unclassified,[c],Mississippi
--,Total,2468035,Missouri
11,"Forestry, Fishing, Hunting, and Agriculture Support",1599,Missouri
21,Mining,3989,Missouri
22,Utilities,16312,Missouri
23,Construction,154628,Missouri
31-33,Manufacturing,305447,Missouri
42,Wholesale Trade,127755,Missouri
44-45,Retail Trade,326498,Missouri
48-49,Transportation and Warehousing,88083,Missouri
51,Information,69545,Missouri
52,Finance and Insurance,136916,Missouri
53,Real Estate and Rental and Leasing,42526,Missouri
54,"Professional, Scientific, and Technical Services",137901,Missouri
55,Management of Companies and Enterprises,71315,Missouri
56,Administrative and Support and Waste Management and Remediation Services,157337,Missouri
61,Educational Services,64810,Missouri
62,Health Care and Social Assistance,362926,Missouri
71,"Arts, Entertainment, and Recreation",38000,Missouri
72,Accommodation and Food Services,239793,Missouri
81,Other Services (except Public Administration),120644,Missouri
99,Unclassified,2011,Missouri
--,Total,342526,Montana
11,"Forestry, Fishing, Hunting, and Agriculture Support",1580,Montana
21,Mining,5863,Montana
22,Utilities,2744,Montana
23,Construction,26879,Montana
31-33,Manufacturing,19878,Montana
42,Wholesale Trade,14643,Montana
44-45,Retail Trade,57949,Montana
48-49,Transportation and Warehousing,10339,Montana
51,Information,7804,Montana
52,Finance and Insurance,16993,Montana
53,Real Estate and Rental and Leasing,5958,Montana
54,"Professional, Scientific, and Technical Services",22677,Montana
55,Management of Companies and Enterprises,2469,Montana
56,Administrative and Support and Waste Management and Remediation Services,14399,Montana
61,Educational Services,5284,Montana
62,Health Care and Social Assistance,57188,Montana
71,"Arts, Entertainment, and Recreation",10323,Montana
72,Accommodation and Food Services,44624,Montana
81,Other Services (except Public Administration),14786,Montana
99,Unclassified,146,Montana
--,Total,789231,Nebraska
11,"Forestry, Fishing, Hunting, and Agriculture Support",[f],Nebraska
21,Mining,935,Nebraska
22,Utilities,1167,Nebraska
23,Construction,43114,Nebraska
31-33,Manufacturing,105416,Nebraska
42,Wholesale Trade,37859,Nebraska
44-45,Retail Trade,108719,Nebraska
48-49,Transportation and Warehousing,29329,Nebraska
51,Information,19444,Nebraska
52,Finance and Insurance,59095,Nebraska
53,Real Estate and Rental and Leasing,10474,Nebraska
54,"Professional, Scientific, and Technical Services",46376,Nebraska
55,Management of Companies and Enterprises,16612,Nebraska
56,Administrative and Support and Waste Management and Remediation Services,65512,Nebraska
61,Educational Services,16424,Nebraska
62,Health Care and Social Assistance,112008,Nebraska
71,"Arts, Entertainment, and Recreation",10823,Nebraska
72,Accommodation and Food Services,68237,Nebraska
81,Other Services (except Public Administration),36797,Nebraska
99,Unclassified,[c],Nebraska
--,Total,1165375,Nevada
11,"Forestry, Fishing, Hunting, and Agriculture Support",187,Nevada
21,Mining,10610,Nevada
22,Utilities,5020,Nevada
23,Construction,139482,Nevada
31-33,Manufacturing,46747,Nevada
42,Wholesale Trade,38980,Nevada
44-45,Retail Trade,142965,Nevada
48-49,Transportation and Warehousing,44682,Nevada
51,Information,15800,Nevada
52,Finance and Insurance,40161,Nevada
53,Real Estate and Rental and Leasing,30248,Nevada
54,"Professional, Scientific, and Technical Services",58756,Nevada
55,Management of Companies and Enterprises,13893,Nevada
56,Administrative and Support and Waste Management and Remediation Services,102249,Nevada
61,Educational Services,7782,Nevada
62,Health Care and Social Assistance,90231,Nevada
71,"Arts, Entertainment, and Recreation",28861,Nevada
72,Accommodation and Food Services,312929,Nevada
81,Other Services (except Public Administration),35501,Nevada
99,Unclassified,291,Nevada
--,Total,577415,New Hampshire
11,"Forestry, Fishing, Hunting, and Agriculture Support",[f],New Hampshire
21,Mining,[e],New Hampshire
22,Utilities,3278,New Hampshire
23,Construction,29085,New Hampshire
31-33,Manufacturing,76358,New Hampshire
42,Wholesale Trade,24880,New Hampshire
44-45,Retail Trade,100490,New Hampshire
48-49,Transportation and Warehousing,12497,New Hampshire
51,Information,13812,New Hampshire
52,Finance and Insurance,29013,New Hampshire
53,Real Estate and Rental and Leasing,7840,New Hampshire
54,"Professional, Scientific, and Technical Services",30165,New Hampshire
55,Management of Companies and Enterprises,8889,New Hampshire
56,Administrative and Support and Waste Management and Remediation Services,41132,New Hampshire
61,Educational Services,27508,New Hampshire
62,Health Care and Social Assistance,82414,New Hampshire
71,"Arts, Entertainment, and Recreation",10317,New Hampshire
72,Accommodation and Food Services,55682,New Hampshire
81,Other Services (except Public Administration),23022,New Hampshire
99,Unclassified,[b],New Hampshire
--,Total,3645381,New Jersey
11,"Forestry, Fishing, Hunting, and Agriculture Support",1143,New Jersey
21,Mining,2384,New Jersey
22,Utilities,18000,New Jersey
23,Construction,181404,New Jersey
31-33,Manufacturing,297021,New Jersey
42,Wholesale Trade,271190,New Jersey
44-45,Retail Trade,461645,New Jersey
48-49,Transportation and Warehousing,170735,New Jersey
51,Information,113331,New Jersey
52,Finance and Insurance,227612,New Jersey
53,Real Estate and Rental and Leasing,62474,New Jersey
54,"Professional, Scientific, and Technical Services",295055,New Jersey
55,Management of Companies and Enterprises,165172,New Jersey
56,Administrative and Support and Waste Management and Remediation Services,306226,New Jersey
61,Educational Services,90631,New Jersey
