NAICS Code,NAICS Description,Total Employment,State
81,Other Services (except Public Administration),12741.0,Arizona
99,Unclassified,42.0,Arizona
--,Total,64009.0,Arkansas
11,"Forestry, Fishing, Hunting, and Agriculture Support",1087.0,Arkansas
21,Mining,250.0,Arkansas
22,Utilities,189.0,Arkansas
23,Construction,7475.0,Arkansas
31-33,Manufacturing,3304.0,Arkansas
42,Wholesale Trade,2782.0,Arkansas
44-45,Retail Trade,11945.0,Arkansas
48-49,Transportation and Warehousing,2091.0,Arkansas
51,Information,571.0,Arkansas
52,Finance and Insurance,2013.0,Arkansas
53,Real Estate and Rental and Leasing,1558.0,Arkansas
54,"Professional, Scientific, and Technical Services",5147.0,Arkansas
55,Management of Companies and Enterprises,32.0,Arkansas
56,Administrative and Support and Waste Management and Remediation Services,2195.0,Arkansas
61,Educational Services,501.0,Arkansas
62,Health Care and Social Assistance,8680.0,Arkansas
71,"Arts, Entertainment, and Recreation",752.0,Arkansas
72,Accommodation and Food Services,5087.0,Arkansas
81,Other Services (except Public Administration),8350.0,Arkansas
--,Total,818915.0,California
11,"Forestry, Fishing, Hunting, and Agriculture Support",1826.0,California
21,Mining,497.0,California
22,Utilities,625.0,California
23,Construction,89876.0,California
31-33,Manufacturing,51684.0,California
42,Wholesale Trade,58850.0,California
44-45,Retail Trade,100722.0,California
48-49,Transportation and Warehousing,17772.0,California
51,Information,11099.0,California
52,Finance and Insurance,25925.0,California
53,Real Estate and Rental and Leasing,32462.0,California
54,"Professional, Scientific, and Technical Services",92544.0,California
55,Management of Companies and Enterprises,352.0,California
56,Administrative and Support and Waste Management and Remediation Services,38211.0,California
61,Educational Services,10652.0,California
62,Health Care and Social Assistance,118175.0,California
71,"Arts, Entertainment, and Recreation",12766.0,California
72,Accommodation and Food Services,76657.0,California
81,Other Services (except Public Administration),77975.0,California
99,Unclassified,245.0,California
--,Total,129787.0,Colorado
11,"Forestry, Fishing, Hunting, and Agriculture Support",151.0,Colorado
21,Mining,956.0,Colorado
22,Utilities,176.0,Colorado
23,Construction,18465.0,Colorado
31-33,Manufacturing,5724.0,Colorado
42,Wholesale Trade,5699.0,Colorado
44-45,Retail Trade,17821.0,Colorado
48-49,Transportation and Warehousing,2404.0,Colorado
51,Information,1848.0,Colorado
52,Finance and Insurance,4549.0,Colorado
53,Real Estate and Rental and Leasing,5020.0,Colorado
54,"Professional, Scientific, and Technical Services",14840.0,Colorado
55,Management of Companies and Enterprises,87.0,Colorado
56,Administrative and Support and Waste Management and Remediation Services,6782.0,Colorado
61,Educational Services,1805.0,Colorado
62,Health Care and Social Assistance,15429.0,Colorado
71,"Arts, Entertainment, and Recreation",2053.0,Colorado
72,Accommodation and Food Services,11418.0,Colorado
81,Other Services (except Public Administration),14530.0,Colorado
99,Unclassified,0.0,Colorado
--,Total,90634.0,Connecticut
11,"Forestry, Fishing, Hunting, and Agriculture Support",0.0,Connecticut
21,Mining,57.0,Connecticut
22,Utilities,0.0,Connecticut
23,Construction,9637.0,Connecticut
31-33,Manufacturing,5764.0,Connecticut
42,Wholesale Trade,4119.0,Connecticut
44-45,Retail Trade,12349.0,Connecticut
48-49,Transportation and Warehousing,1304.0,Connecticut
51,Information,1035.0,Connecticut
52,Finance and Insurance,3598.0,Connecticut
53,Real Estate and Rental and Leasing,2642.0,Connecticut
54,"Professional, Scientific, and Technical Services",9381.0,Connecticut
55,Management of Companies and Enterprises,74.0,Connecticut
56,Administrative and Support and Waste Management and Remediation Services,4359.0,Connecticut
61,Educational Services,1255.0,Connecticut
62,Health Care and Social Assistance,11642.0,Connecticut
71,"Arts, Entertainment, and Recreation",1540.0,Connecticut
72,Accommodation and Food Services,8618.0,Connecticut
81,Other Services (except Public Administration),13139.0,Connecticut
99,Unclassified,18.0,Connecticut
--,Total,21061.0,Delaware
11,"Forestry, Fishing, Hunting, and Agriculture Support",0.0,Delaware
21,Mining,0.0,Delaware
22,Utilities,0.0,Delaware
23,Construction,2790.0,Delaware
31-33,Manufacturing,681.0,Delaware
42,Wholesale Trade,697.0,Delaware
44-45,Retail Trade,3359.0,Delaware
48-49,Transportation and Warehousing,498.0,Delaware
51,Information,119.0,Delaware
52,Finance and Insurance,852.0,Delaware
53,Real Estate and Rental and Leasing,661.0,Delaware
54,"Professional, Scientific, and Technical Services",1768.0,Delaware
55,Management of Companies and Enterprises,0.0,Delaware
56,Administrative and Support and Waste Management and Remediation Services,1210.0,Delaware
61,Educational Services,247.0,Delaware
62,Health Care and Social Assistance,3109.0,Delaware
71,"Arts, Entertainment, and Recreation",385.0,Delaware
72,Accommodation and Food Services,1754.0,Delaware
81,Other Services (except Public Administration),2811.0,Delaware
99,Unclassified,0.0,Delaware
--,Total,17984.0,District of Columbia
23,Construction,397.0,District of Columbia
31-33,Manufacturing,197.0,District of Columbia
42,Wholesale Trade,288.0,District of Columbia
44-45,Retail Trade,1692.0,District of Columbia
48-49,Transportation and Warehousing,98.0,District of Columbia
51,Information,437.0,District of Columbia
52,Finance and Insurance,442.0,District of Columbia
53,Real Estate and Rental and Leasing,649.0,District of Columbia
54,"Professional, Scientific, and Technical Services",3819.0,District of Columbia
55,Management of Companies and Enterprises,0.0,District of Columbia
56,Administrative and Support and Waste Management and Remediation Services,623.0,District of Columbia
61,Educational Services,466.0,District of Columbia
62,Health Care and Social Assistance,2146.0,District of Columbia
71,"Arts, Entertainment, and Recreation",212.0,District of Columbia
72,Accommodation and Food Services,1917.0,District of Columbia
81,Other Services (except Public Administration),4569.0,District of Columbia
99,Unclassified,0.0,District of Columbia
--,Total,414402.0,Florida
11,"Forestry, Fishing, Hunting, and Agriculture Support",1142.0,Florida
21,Mining,184.0,Florida
22,Utilities,403.0,Florida
23,Construction,50060.0,Florida
31-33,Manufacturing,14690.0,Florida
42,Wholesale Trade,25155.0,Florida
44-45,Retail Trade,52512.0,Florida
48-49,Transportation and Warehousing,7651.0,Florida
51,Information,3894.0,Florida
52,Finance and Insurance,18017.0,Florida
53,Real Estate and Rental and Leasing,15514.0,Florida
54,"Professional, Scientific, and Technical Services",49033.0,Florida
55,Management of Companies and Enterprises,264.0,Florida
56,Administrative and Support and Waste Management and Remediation Services,22667.0,Florida
61,Educational Services,4272.0,Florida
62,Health Care and Social Assistance,65431.0,Florida
71,"Arts, Entertainment, and Recreation",5642.0,Florida
72,Accommodation and Food Services,32260.0,Florida
81,Other Services (except Public Administration),45534.0,Florida
99,Unclassified,0.0,Florida
--,Total,193191.0,Georgia
11,"Forestry, Fishing, Hunting, and Agriculture Support",1470.0,Georgia
21,Mining,200.0,Georgia
22,Utilities,94.0,Georgia
23,Construction,24117.0,Georgia
31-33,Manufacturing,8506.0,Georgia
42,Wholesale Trade,11612.0,Georgia
44-45,Retail Trade,28121.0,Georgia
48-49,Transportation and Warehousing,3743.0,Georgia
51,Information,1984.0,Georgia
52,Finance and Insurance,7070.0,Georgia
53,Real Estate and Rental and Leasing,5579.0,Georgia
54,"Professional, Scientific, and Technical Services",19378.0,Georgia
55,Management of Companies and Enterprises,131.0,Georgia
56,Administrative and Support and Waste Management and Remediation Services,9574.0,Georgia
61,Educational Services,2111.0,Georgia
62,Health Care and Social Assistance,26230.0,Georgia
71,"Arts, Entertainment, and Recreation",2470.0,Georgia
72,Accommodation and Food Services,15935.0,Georgia
81,Other Services (except Public Administration),24795.0,Georgia
99,Unclassified,0.0,Georgia
--,Total,32474.0,Hawaii
11,"Forestry, Fishing, Hunting, and Agriculture Support",28.0,Hawaii
21,Mining,0.0,Hawaii
22,Utilities,0.0,Hawaii
23,Construction,3644.0,Hawaii
31-33,Manufacturing,1220.0,Hawaii
42,Wholesale Trade,1877.0,Hawaii
44-45,Retail Trade,4958.0,Hawaii
48-49,Transportation and Warehousing,715.0,Hawaii
51,Information,390.0,Hawaii
52,Finance and Insurance,629.0,Hawaii
53,Real Estate and Rental and Leasing,1505.0,Hawaii
54,"Professional, Scientific, and Technical Services",2981.0,Hawaii
55,Management of Companies and Enterprises,0.0,Hawaii
56,Administrative and Support and Waste Management and Remediation Services,1779.0,Hawaii
61,Educational Services,524.0,Hawaii
62,Health Care and Social Assistance,4860.0,Hawaii
71,"Arts, Entertainment, and Recreation",476.0,Hawaii
72,Accommodation and Food Services,3479.0,Hawaii
81,Other Services (except Public Administration),3373.0,Hawaii
99,Unclassified,0.0,Hawaii
--,Total,45437.0,Idaho
11,"Forestry, Fishing, Hunting, and Agriculture Support",506.0,Idaho
21,Mining,0.0,Idaho
22,Utilities,71.0,Idaho
23,Construction,10056.0,Idaho
31-33,Manufacturing,2348.0,Idaho
42,Wholesale Trade,1510.0,Idaho
44-45,Retail Trade,6388.0,Idaho
48-49,Transportation and Warehousing,1158.0,Idaho
51,Information,429.0,Idaho
52,Finance and Insurance,1244.0,Idaho
53,Real Estate and Rental and Leasing,1300.0,Idaho
54,"Professional, Scientific, and Technical Services",3549.0,Idaho
55,Management of Companies and Enterprises,0.0,Idaho
56,Administrative and Support and Waste Management and Remediation Services,1891.0,Idaho
61,Educational Services,351.0,Idaho
62,Health Care and Social Assistance,6212.0,Idaho
71,"Arts, Entertainment, and Recreation",641.0,Idaho
72,Accommodation and Food Services,3771.0,Idaho
81,Other Services (except Public Administration),3869.0,Idaho
99,Unclassified,0.0,Idaho
--,Total,283891.0,Illinois
11,"Forestry, Fishing, Hunting, and Agriculture Support",249.0,Illinois
21,Mining,463.0,Illinois
22,Utilities,136.0,Illinois
23,Construction,32476.0,Illinois
31-33,Manufacturing,16353.0,Illinois
42,Wholesale Trade,17307.0,Illinois
44-45,Retail Trade,35365.0,Illinois
48-49,Transportation and Warehousing,7579.0,Illinois
51,Information,2795.0,Illinois
52,Finance and Insurance,11991.0,Illinois
53,Real Estate and Rental and Leasing,8763.0,Illinois
54,"Professional, Scientific, and Technical Services",28952.0,Illinois
55,Management of Companies and Enterprises,155.0,Illinois
56,Administrative and Support and Waste Management and Remediation Services,12574.0,Illinois
61,Educational Services,3064.0,Illinois
62,Health Care and Social Assistance,35235.0,Illinois
71,"Arts, Entertainment, and Recreation",4093.0,Illinois
72,Accommodation and Food Services,26450.0,Illinois
81,Other Services (except Public Administration),39839.0,Illinois
99,Unclassified,52.0,Illinois
--,Total,142724.0,Indiana
11,"Forestry, Fishing, Hunting, and Agriculture Support",151.0,Indiana
21,Mining,219.0,Indiana
22,Utilities,0.0,Indiana
23,Construction,19693.0,Indiana
31-33,Manufacturing,8824.0,Indiana
42,Wholesale Trade,7126.0,Indiana
44-45,Retail Trade,20453.0,Indiana
48-49,Transportation and Warehousing,4091.0,Indiana
51,Information,1197.0,Indiana
52,Finance and Insurance,4525.0,Indiana
53,Real Estate and Rental and Leasing,3651.0,Indiana
54,"Professional, Scientific, and Technical Services",11657.0,Indiana
55,Management of Companies and Enterprises,0.0,Indiana
56,Administrative and Support and Waste Management and Remediation Services,6425.0,Indiana
61,Educational Services,1740.0,Indiana
62,Health Care and Social Assistance,16995.0,Indiana
71,"Arts, Entertainment, and Recreation",2054.0,Indiana
72,Accommodation and Food Services,11873.0,Indiana
81,Other Services (except Public Administration),21736.0,Indiana
99,Unclassified,24.0,Indiana
--,Total,77477.0,Iowa
11,"Forestry, Fishing, Hunting, and Agriculture Support",164.0,Iowa
21,Mining,46.0,Iowa
22,Utilities,71.0,Iowa
23,Construction,9792.0,Iowa
31-33,Manufacturing,3881.0,Iowa
42,Wholesale Trade,3753.0,Iowa
44-45,Retail Trade,12986.0,Iowa
48-49,Transportation and Warehousing,2862.0,Iowa
51,Information,1103.0,Iowa
52,Finance and Insurance,3147.0,Iowa
53,Real Estate and Rental and Leasing,1444.0,Iowa
54,"Professional, Scientific, and Technical Services",6273.0,Iowa
55,Management of Companies and Enterprises,0.0,Iowa
56,Administrative and Support and Waste Management and Remediation Services,3027.0,Iowa
61,Educational Services,766.0,Iowa
62,Health Care and Social Assistance,7279.0,Iowa
71,"Arts, Entertainment, and Recreation",1627.0,Iowa
72,Accommodation and Food Services,7525.0,Iowa
81,Other Services (except Public Administration),11696.0,Iowa
99,Unclassified,0.0,Iowa
--,Total,70380.0,Kansas
11,"Forestry, Fishing, Hunting, and Agriculture Support",178.0,Kansas
21,Mining,910.0,Kansas
22,Utilities,0.0,Kansas
23,Construction,9183.0,Kansas
31-33,Manufacturing,3368.0,Kansas
42,Wholesale Trade,3769.0,Kansas
44-45,Retail Trade,11769.0,Kansas
48-49,Transportation and Warehousing,1866.0,Kansas
51,Information,773.0,Kansas
52,Finance and Insurance,2653.0,Kansas
53,Real Estate and Rental and Leasing,1923.0,Kansas
54,"Professional, Scientific, and Technical Services",6278.0,Kansas
55,Management of Companies and Enterprises,0.0,Kansas
56,Administrative and Support and Waste Management and Remediation Services,3198.0,Kansas
61,Educational Services,619.0,Kansas
62,Health Care and Social Assistance,7792.0,Kansas
71,"Arts, Entertainment, and Recreation",1166.0,Kansas
72,Accommodation and Food Services,5256.0,Kansas
81,Other Services (except Public Administration),9612.0,Kansas
--,Total,88611.0,Kentucky
11,"Forestry, Fishing, Hunting, and Agriculture Support",268.0,Kentucky
21,Mining,495.0,Kentucky
22,Utilities,80.0,Kentucky
23,Construction,11009.0,Kentucky
31-33,Manufacturing,4009.0,Kentucky
42,Wholesale Trade,3789.0,Kentucky
44-45,Retail Trade,15420.0,Kentucky
48-49,Transportation and Warehousing,2606.0,Kentucky
51,Information,846.0,Kentucky
52,Finance and Insurance,3285.0,Kentucky
53,Real Estate and Rental and Leasing,2473.0,Kentucky
54,"Professional, Scientific, and Technical Services",7411.0,Kentucky
55,Management of Companies and Enterprises,0.0,Kentucky
56,Administrative and Support and Waste Management and Remediation Services,3454.0,Kentucky
61,Educational Services,897.0,Kentucky
62,Health Care and Social Assistance,13378.0,Kentucky
71,"Arts, Entertainment, and Recreation",1570.0,Kentucky
72,Accommodation and Food Services,5934.0,Kentucky
81,Other Services (except Public Administration),11638.0,Kentucky
99,Unclassified,0.0,Kentucky
--,Total,102536.0,Louisiana
11,"Forestry, Fishing, Hunting, and Agriculture Support",1205.0,Louisiana
21,Mining,973.0,Louisiana
22,Utilities,268.0,Louisiana
23,Construction,12311.0,Louisiana
31-33,Manufacturing,3675.0,Louisiana
42,Wholesale Trade,4905.0,Louisiana
44-45,Retail Trade,15636.0,Louisiana
48-49,Transportation and Warehousing,3006.0,Louisiana
51,Information,631.0,Louisiana
52,Finance and Insurance,4570.0,Louisiana
53,Real Estate and Rental and Leasing,2937.0,Louisiana
54,"Professional, Scientific, and Technical Services",10141.0,Louisiana
55,Management of Companies and Enterprises,81.0,Louisiana
56,Administrative and Support and Waste Management and Remediation Services,3884.0,Louisiana
61,Educational Services,900.0,Louisiana
62,Health Care and Social Assistance,15754.0,Louisiana
71,"Arts, Entertainment, and Recreation",1332.0,Louisiana
72,Accommodation and Food Services,7222.0,Louisiana
81,Other Services (except Public Administration),13065.0,Louisiana
99,Unclassified,0.0,Louisiana
--,Total,39024.0,Maine
11,"Forestry, Fishing, Hunting, and Agriculture Support",486.0,Maine
21,Mining,46.0,Maine
22,Utilities,0.0,Maine
23,Construction,5228.0,Maine
31-33,Manufacturing,1892.0,Maine
42,Wholesale Trade,1273.0,Maine
44-45,Retail Trade,7234.0,Maine
48-49,Transportation and Warehousing,890.0,Maine
51,Information,469.0,Maine
52,Finance and Insurance,956.0,Maine
53,Real Estate and Rental and Leasing,1030.0,Maine
54,"Professional, Scientific, and Technical Services",3136.0,Maine
55,Management of Companies and Enterprises,0.0,Maine
56,Administrative and Support and Waste Management and Remediation Services,1704.0,Maine
61,Educational Services,484.0,Maine
62,Health Care and Social Assistance,4690.0,Maine
71,"Arts, Entertainment, and Recreation",808.0,Maine
72,Accommodation and Food Services,4314.0,Maine
81,Other Services (except Public Administration),4327.0,Maine
99,Unclassified,0.0,Maine
--,Total,130036.0,Maryland
11,"Forestry, Fishing, Hunting, and Agriculture Support",144.0,Maryland
21,Mining,77.0,Maryland
22,Utilities,0.0,Maryland
23,Construction,19027.0,Maryland
31-33,Manufacturing,3949.0,Maryland
42,Wholesale Trade,5006.0,Maryland
44-45,Retail Trade,17276.0,Maryland
48-49,Transportation and Warehousing,2943.0,Maryland
51,Information,1147.0,Maryland
52,Finance and Insurance,4659.0,Maryland
53,Real Estate and Rental and Leasing,3616.0,Maryland
54,"Professional, Scientific, and Technical Services",14921.0,Maryland
55,Management of Companies and Enterprises,0.0,Maryland
56,Administrative and Support and Waste Management and Remediation Services,7110.0,Maryland
61,Educational Services,1769.0,Maryland
62,Health Care and Social Assistance,18113.0,Maryland
71,"Arts, Entertainment, and Recreation",2199.0,Maryland
72,Accommodation and Food Services,10442.0,Maryland
81,Other Services (except Public Administration),17539.0,Maryland
99,Unclassified,0.0,Maryland
--,Total,166588.0,Massachusetts
11,"Forestry, Fishing, Hunting, and Agriculture Support",290.0,Massachusetts
21,Mining,0.0,Massachusetts
22,Utilities,40.0,Massachusetts
23,Construction,19723.0,Massachusetts
31-33,Manufacturing,8980.0,Massachusetts
42,Wholesale Trade,8369.0,Massachusetts
44-45,Retail Trade,23066.0,Massachusetts
48-49,Transportation and Warehousing,3063.0,Massachusetts
51,Information,2182.0,Massachusetts
52,Finance and Insurance,6316.0,Massachusetts
53,Real Estate and Rental and Leasing,4350.0,Massachusetts
54,"Professional, Scientific, and Technical Services",19804.0,Massachusetts
55,Management of Companies and Enterprises,137.0,Massachusetts
56,Administrative and Support and Waste Management and Remediation Services,7004.0,Massachusetts
61,Educational Services,2429.0,Massachusetts
62,Health Care and Social Assistance,19154.0,Massachusetts
71,"Arts, Entertainment, and Recreation",3097.0,Massachusetts
72,Accommodation and Food Services,16440.0,Massachusetts
81,Other Services (except Public Administration),21945.0,Massachusetts
99,Unclassified,118.0,Massachusetts
--,Total,224474.0,Michigan
11,"Forestry, Fishing, Hunting, and Agriculture Support",606.0,Michigan
21,Mining,379.0,Michigan
22,Utilities,40.0,Michigan
23,Construction,22980.0,Michigan
31-33,Manufacturing,15101.0,Michigan
42,Wholesale Trade,10366.0,Michigan
44-45,Retail Trade,33935.0,Michigan
48-49,Transportation and Warehousing,3911.0,Michigan
51,Information,1782.0,Michigan
52,Finance and Insurance,7247.0,Michigan
53,Real Estate and Rental and Leasing,5945.0,Michigan
54,"Professional, Scientific, and Technical Services",19078.0,Michigan
55,Management of Companies and Enterprises,175.0,Michigan
56,Administrative and Support and Waste Management and Remediation Services,8986.0,Michigan
61,Educational Services,2189.0,Michigan
62,Health Care and Social Assistance,35103.0,Michigan
71,"Arts, Entertainment, and Recreation",3328.0,Michigan
72,Accommodation and Food Services,20164.0,Michigan
81,Other Services (except Public Administration),32991.0,Michigan
99,Unclassified,168.0,Michigan
--,Total,130699.0,Minnesota
11,"Forestry, Fishing, Hunting, and Agriculture Support",649.0,Minnesota
21,Mining,167.0,Minnesota
22,Utilities,45.0,Minnesota
23,Construction,15537.0,Minnesota
31-33,Manufacturing,8280.0,Minnesota
42,Wholesale Trade,7202.0,Minnesota
44-45,Retail Trade,20600.0,Minnesota
48-49,Transportation and Warehousing,3118.0,Minnesota
51,Information,1424.0,Minnesota
52,Finance and Insurance,5098.0,Minnesota
53,Real Estate and Rental and Leasing,3477.0,Minnesota
54,"Professional, Scientific, and Technical Services",12058.0,Minnesota
55,Management of Companies and Enterprises,94.0,Minnesota
56,Administrative and Support and Waste Management and Remediation Services,5656.0,Minnesota
61,Educational Services,1541.0,Minnesota
62,Health Care and Social Assistance,12789.0,Minnesota
71,"Arts, Entertainment, and Recreation",2663.0,Minnesota
72,Accommodation and Food Services,10324.0,Minnesota
81,Other Services (except Public Administration),19933.0,Minnesota
99,Unclassified,44.0,Minnesota
--,Total,59119.0,Mississippi
11,"Forestry, Fishing, Hunting, and Agriculture Support",1302.0,Mississippi
21,Mining,153.0,Mississippi
22,Utilities,427.0,Mississippi
23,Construction,6406.0,Mississippi
31-33,Manufacturing,2531.0,Mississippi
42,Wholesale Trade,2546.0,Mississippi
44-45,Retail Trade,11195.0,Mississippi
48-49,Transportation and Warehousing,2039.0,Mississippi
51,Information,560.0,Mississippi
52,Finance and Insurance,1986.0,Mississippi
53,Real Estate and Rental and Leasing,1374.0,Mississippi
54,"Professional, Scientific, and Technical Services",4298.0,Mississippi
55,Management of Companies and Enterprises,0.0,Mississippi
56,Administrative and Support and Waste Management and Remediation Services,2213.0,Mississippi
61,Educational Services,406.0,Mississippi
62,Health Care and Social Assistance,8102.0,Mississippi
71,"Arts, Entertainment, and Recreation",687.0,Mississippi
72,Accommodation and Food Services,4224.0,Mississippi
81,Other Services (except Public Administration),8630.0,Mississippi
99,Unclassified,0.0,Mississippi
--,Total,135345.0,Missouri
11,"Forestry, Fishing, Hunting, and Agriculture Support",241.0,Missouri
21,Mining,219.0,Missouri
22,Utilities,0.0,Missouri
23,Construction,19742.0,Missouri
31-33,Manufacturing,7406.0,Missouri
42,Wholesale Trade,7133.0,Missouri
44-45,Retail Trade,19641.0,Missouri
48-49,Transportation and Warehousing,3800.0,Missouri
51,Information,1363.0,Missouri
52,Finance and Insurance,4473.0,Missouri
53,Real Estate and Rental and Leasing,3597.0,Missouri
54,"Professional, Scientific, and Technical Services",12627.0,Missouri
55,Management of Companies and Enterprises,0.0,Missouri
56,Administrative and Support and Waste Management and Remediation Services,6332.0,Missouri
61,Educational Services,1361.0,Missouri
62,Health Care and Social Assistance,16320.0,Missouri
71,"Arts, Entertainment, and Recreation",1880.0,Missouri
72,Accommodation and Food Services,9411.0,Missouri
81,Other Services (except Public Administration),19621.0,Missouri
99,Unclassified,46.0,Missouri
--,Total,37204.0,Montana
11,"Forestry, Fishing, Hunting, and Agriculture Support",346.0,Montana
21,Mining,251.0,Montana
22,Utilities,61.0,Montana
23,Construction,6177.0,Montana
31-33,Manufacturing,1508.0,Montana
42,Wholesale Trade,1283.0,Montana
44-45,Retail Trade,5967.0,Montana
48-49,Transportation and Warehousing,857.0,Montana
51,Information,454.0,Montana
52,Finance and Insurance,1029.0,Montana
53,Real Estate and Rental and Leasing,883.0,Montana
54,"Professional, Scientific, and Technical Services",3010.0,Montana
55,Management of Companies and Enterprises,0.0,Montana
56,Administrative and Support and Waste Management and Remediation Services,1479.0,Montana
61,Educational Services,331.0,Montana
62,Health Care and Social Assistance,4074.0,Montana
71,"Arts, Entertainment, and Recreation",1220.0,Montana
72,Accommodation and Food Services,4322.0,Montana
81,Other Services (except Public Administration),3925.0,Montana
99,Unclassified,0.0,Montana
--,Total,47179.0,Nebraska
11,"Forestry, Fishing, Hunting, and Agriculture Support",66.0,Nebraska
21,Mining,122.0,Nebraska
22,Utilities,0.0,Nebraska
23,Construction,6634.0,Nebraska
31-33,Manufacturing,2090.0,Nebraska
42,Wholesale Trade,2084.0,Nebraska
44-45,Retail Trade,7788.0,Nebraska
48-49,Transportation and Warehousing,1512.0,Nebraska
51,Information,577.0,Nebraska
52,Finance and Insurance,2038.0,Nebraska
53,Real Estate and Rental and Leasing,906.0,Nebraska
54,"Professional, Scientific, and Technical Services",3756.0,Nebraska
55,Management of Companies and Enterprises,71.0,Nebraska
56,Administrative and Support and Waste Management and Remediation Services,2206.0,Nebraska
61,Educational Services,466.0,Nebraska
62,Health Care and Social Assistance,5263.0,Nebraska
71,"Arts, Entertainment, and Recreation",753.0,Nebraska
72,Accommodation and Food Services,4329.0,Nebraska
81,Other Services (except Public Administration),6498.0,Nebraska
--,Total,52681.0,Nevada
11,"Forestry, Fishing, Hunting, and Agriculture Support",0.0,Nevada
21,Mining,175.0,Nevada
22,Utilities,26.0,Nevada
23,Construction,7486.0,Nevada
31-33,Manufacturing,2351.0,Nevada
42,Wholesale Trade,2248.0,Nevada
44-45,Retail Trade,6521.0,Nevada
48-49,Transportation and Warehousing,901.0,Nevada
51,Information,540.0,Nevada
52,Finance and Insurance,1969.0,Nevada
53,Real Estate and Rental and Leasing,2800.0,Nevada
54,"Professional, Scientific, and Technical Services",5748.0,Nevada
55,Management of Companies and Enterprises,50.0,Nevada
56,Administrative and Support and Waste Management and Remediation Services,3581.0,Nevada
61,Educational Services,521.0,Nevada
62,Health Care and Social Assistance,7048.0,Nevada
71,"Arts, Entertainment, and Recreation",901.0,Nevada
72,Accommodation and Food Services,5116.0,Nevada
