NAICS Code,NAICS Description,Total Employment,State
44-45,Retail trade,1541,District of Columbia
48-49,Transportation and warehousing,118,District of Columbia
51,Information,277,District of Columbia
52,Finance and insurance,414,District of Columbia
53,Real estate and rental and leasing,730,District of Columbia
54,"Professional, scientific, and technical services",3409,District of Columbia
55,Management of companies and enterprises,0,District of Columbia
56,Administrative and support and waste management and remediation services,522,District of Columbia
61,Educational services,0,District of Columbia
62,Health care and social assistance,1611,District of Columbia
71,"Arts, entertainment, and recreation",203,District of Columbia
72,Accommodation and food services,1204,District of Columbia
81,Other services (except public administration),3177,District of Columbia
99,Industries not classified,0,District of Columbia
--,Total,446406,Florida
11,"Agriculture, forestry, fishing and hunting",1071,Florida
21,"Mining, quarrying, and oil and gas extraction",0,Florida
22,Utilities,225,Florida
23,Construction,55339,Florida
31-33,Manufacturing,11530,Florida
42,Wholesale trade,29214,Florida
44-45,Retail trade,56018,Florida
48-49,Transportation and warehousing,11208,Florida
51,Information,4734,Florida
52,Finance and insurance,22316,Florida
53,Real estate and rental and leasing,28013,Florida
54,"Professional, scientific, and technical services",72589,Florida
55,Management of companies and enterprises,364,Florida
56,Administrative and support and waste management and remediation services,32196,Florida
61,Educational services,4284,Florida
62,Health care and social assistance,43092,Florida
71,"Arts, entertainment, and recreation",6489,Florida
72,Accommodation and food services,19206,Florida
81,Other services (except public administration),47866,Florida
99,Industries not classified,0,Florida
--,Total,178649,Georgia
11,"Agriculture, forestry, fishing and hunting",923,Georgia
21,"Mining, quarrying, and oil and gas extraction",74,Georgia
22,Utilities,0,Georgia
23,Construction,22605,Georgia
31-33,Manufacturing,5340,Georgia
42,Wholesale trade,9905,Georgia
44-45,Retail trade,26053,Georgia
48-49,Transportation and warehousing,4584,Georgia
51,Information,1693,Georgia
52,Finance and insurance,9475,Georgia
53,Real estate and rental and leasing,9372,Georgia
54,"Professional, scientific, and technical services",27745,Georgia
55,Management of companies and enterprises,0,Georgia
56,Administrative and support and waste management and remediation services,10363,Georgia
61,Educational services,1814,Georgia
62,Health care and social assistance,14983,Georgia
71,"Arts, entertainment, and recreation",2135,Georgia
72,Accommodation and food services,8695,Georgia
81,Other services (except public administration),22443,Georgia
99,Industries not classified,0,Georgia
--,Total,25781,Hawaii
11,"Agriculture, forestry, fishing and hunting",0,Hawaii
21,"Mining, quarrying, and oil and gas extraction",0,Hawaii
22,Utilities,0,Hawaii
23,Construction,2685,Hawaii
31-33,Manufacturing,871,Hawaii
42,Wholesale trade,1370,Hawaii
44-45,Retail trade,3116,Hawaii
48-49,Transportation and warehousing,485,Hawaii
51,Information,237,Hawaii
52,Finance and insurance,1015,Hawaii
53,Real estate and rental and leasing,1969,Hawaii
54,"Professional, scientific, and technical services",3113,Hawaii
55,Management of companies and enterprises,0,Hawaii
56,Administrative and support and waste management and remediation services,1518,Hawaii
61,Educational services,371,Hawaii
62,Health care and social assistance,3165,Hawaii
71,"Arts, entertainment, and recreation",359,Hawaii
72,Accommodation and food services,1665,Hawaii
81,Other services (except public administration),3741,Hawaii
99,Industries not classified,0,Hawaii
--,Total,38284,Idaho
11,"Agriculture, forestry, fishing and hunting",527,Idaho
21,"Mining, quarrying, and oil and gas extraction",83,Idaho
22,Utilities,97,Idaho
23,Construction,8846,Idaho
31-33,Manufacturing,1451,Idaho
42,Wholesale trade,1257,Idaho
44-45,Retail trade,3908,Idaho
48-49,Transportation and warehousing,1498,Idaho
51,Information,337,Idaho
52,Finance and insurance,2024,Idaho
53,Real estate and rental and leasing,2425,Idaho
54,"Professional, scientific, and technical services",4314,Idaho
55,Management of companies and enterprises,0,Idaho
56,Administrative and support and waste management and remediation services,1901,Idaho
61,Educational services,309,Idaho
62,Health care and social assistance,3570,Idaho
71,"Arts, entertainment, and recreation",528,Idaho
72,Accommodation and food services,1628,Idaho
81,Other services (except public administration),3528,Idaho
99,Industries not classified,0,Idaho
--,Total,252294,Illinois
11,"Agriculture, forestry, fishing and hunting",317,Illinois
21,"Mining, quarrying, and oil and gas extraction",522,Illinois
22,Utilities,114,Illinois
23,Construction,32634,Illinois
31-33,Manufacturing,9481,Illinois
42,Wholesale trade,14024,Illinois
44-45,Retail trade,27399,Illinois
48-49,Transportation and warehousing,9328,Illinois
51,Information,2315,Illinois
52,Finance and insurance,16054,Illinois
53,Real estate and rental and leasing,11092,Illinois
54,"Professional, scientific, and technical services",37441,Illinois
55,Management of companies and enterprises,0,Illinois
56,Administrative and support and waste management and remediation services,12620,Illinois
61,Educational services,2322,Illinois
62,Health care and social assistance,23885,Illinois
71,"Arts, entertainment, and recreation",3592,Illinois
72,Accommodation and food services,15358,Illinois
81,Other services (except public administration),33433,Illinois
99,Industries not classified,0,Illinois
--,Total,111167,Indiana
11,"Agriculture, forestry, fishing and hunting",293,Indiana
21,"Mining, quarrying, and oil and gas extraction",151,Indiana
22,Utilities,148,Indiana
23,Construction,16249,Indiana
31-33,Manufacturing,4464,Indiana
42,Wholesale trade,5067,Indiana
44-45,Retail trade,13478,Indiana
48-49,Transportation and warehousing,4113,Indiana
51,Information,827,Indiana
52,Finance and insurance,6318,Indiana
53,Real estate and rental and leasing,5358,Indiana
54,"Professional, scientific, and technical services",13315,Indiana
55,Management of companies and enterprises,0,Indiana
56,Administrative and support and waste management and remediation services,5519,Indiana
61,Educational services,1088,Indiana
62,Health care and social assistance,9337,Indiana
71,"Arts, entertainment, and recreation",1658,Indiana
72,Accommodation and food services,5707,Indiana
81,Other services (except public administration),17954,Indiana
99,Industries not classified,0,Indiana
--,Total,62581,Iowa
11,"Agriculture, forestry, fishing and hunting",215,Iowa
21,"Mining, quarrying, and oil and gas extraction",39,Iowa
22,Utilities,0,Iowa
23,Construction,9028,Iowa
31-33,Manufacturing,2128,Iowa
42,Wholesale trade,2451,Iowa
44-45,Retail trade,7731,Iowa
48-49,Transportation and warehousing,3292,Iowa
51,Information,667,Iowa
52,Finance and insurance,4115,Iowa
53,Real estate and rental and leasing,2570,Iowa
54,"Professional, scientific, and technical services",6336,Iowa
55,Management of companies and enterprises,26,Iowa
56,Administrative and support and waste management and remediation services,2887,Iowa
61,Educational services,437,Iowa
62,Health care and social assistance,4889,Iowa
71,"Arts, entertainment, and recreation",1246,Iowa
72,Accommodation and food services,3495,Iowa
81,Other services (except public administration),10760,Iowa
99,Industries not classified,249,Iowa
--,Total,59535,Kansas
11,"Agriculture, forestry, fishing and hunting",222,Kansas
21,"Mining, quarrying, and oil and gas extraction",958,Kansas
22,Utilities,38,Kansas
23,Construction,8353,Kansas
31-33,Manufacturing,1732,Kansas
42,Wholesale trade,2485,Kansas
44-45,Retail trade,7531,Kansas
48-49,Transportation and warehousing,2176,Kansas
51,Information,511,Kansas
52,Finance and insurance,4279,Kansas
53,Real estate and rental and leasing,2762,Kansas
54,"Professional, scientific, and technical services",7541,Kansas
55,Management of companies and enterprises,46,Kansas
56,Administrative and support and waste management and remediation services,2988,Kansas
61,Educational services,479,Kansas
62,Health care and social assistance,4896,Kansas
71,"Arts, entertainment, and recreation",847,Kansas
72,Accommodation and food services,2431,Kansas
81,Other services (except public administration),9181,Kansas
99,Industries not classified,79,Kansas
--,Total,69279,Kentucky
11,"Agriculture, forestry, fishing and hunting",300,Kentucky
21,"Mining, quarrying, and oil and gas extraction",311,Kentucky
22,Utilities,61,Kentucky
23,Construction,9360,Kentucky
31-33,Manufacturing,2185,Kentucky
42,Wholesale trade,2825,Kentucky
44-45,Retail trade,10273,Kentucky
48-49,Transportation and warehousing,2369,Kentucky
51,Information,655,Kentucky
52,Finance and insurance,3721,Kentucky
53,Real estate and rental and leasing,3503,Kentucky
54,"Professional, scientific, and technical services",8477,Kentucky
55,Management of companies and enterprises,0,Kentucky
56,Administrative and support and waste management and remediation services,3140,Kentucky
61,Educational services,592,Kentucky
62,Health care and social assistance,6987,Kentucky
71,"Arts, entertainment, and recreation",1098,Kentucky
72,Accommodation and food services,2776,Kentucky
81,Other services (except public administration),10509,Kentucky
99,Industries not classified,0,Kentucky
--,Total,78972,Louisiana
11,"Agriculture, forestry, fishing and hunting",529,Louisiana
21,"Mining, quarrying, and oil and gas extraction",968,Louisiana
22,Utilities,297,Louisiana
23,Construction,9094,Louisiana
31-33,Manufacturing,2118,Louisiana
42,Wholesale trade,3319,Louisiana
44-45,Retail trade,11480,Louisiana
48-49,Transportation and warehousing,2583,Louisiana
51,Information,474,Louisiana
52,Finance and insurance,4864,Louisiana
53,Real estate and rental and leasing,4092,Louisiana
54,"Professional, scientific, and technical services",11874,Louisiana
55,Management of companies and enterprises,0,Louisiana
56,Administrative and support and waste management and remediation services,3584,Louisiana
61,Educational services,603,Louisiana
62,Health care and social assistance,8188,Louisiana
71,"Arts, entertainment, and recreation",1108,Louisiana
72,Accommodation and food services,3474,Louisiana
81,Other services (except public administration),10171,Louisiana
99,Industries not classified,100,Louisiana
--,Total,34062,Maine
11,"Agriculture, forestry, fishing and hunting",754,Maine
21,"Mining, quarrying, and oil and gas extraction",0,Maine
22,Utilities,0,Maine
23,Construction,6177,Maine
31-33,Manufacturing,1298,Maine
42,Wholesale trade,1162,Maine
44-45,Retail trade,4450,Maine
48-49,Transportation and warehousing,1055,Maine
51,Information,0,Maine
52,Finance and insurance,1016,Maine
53,Real estate and rental and leasing,1655,Maine
54,"Professional, scientific, and technical services",3562,Maine
55,Management of companies and enterprises,0,Maine
56,Administrative and support and waste management and remediation services,1781,Maine
61,Educational services,423,Maine
62,Health care and social assistance,2961,Maine
71,"Arts, entertainment, and recreation",785,Maine
72,Accommodation and food services,1934,Maine
81,Other services (except public administration),4515,Maine
99,Industries not classified,0,Maine
--,Total,109135,Maryland
11,"Agriculture, forestry, fishing and hunting",223,Maryland
21,"Mining, quarrying, and oil and gas extraction",36,Maryland
22,Utilities,29,Maryland
23,Construction,17003,Maryland
31-33,Manufacturing,2309,Maryland
42,Wholesale trade,4008,Maryland
44-45,Retail trade,12119,Maryland
48-49,Transportation and warehousing,2894,Maryland
51,Information,0,Maryland
52,Finance and insurance,5016,Maryland
53,Real estate and rental and leasing,4978,Maryland
54,"Professional, scientific, and technical services",18070,Maryland
55,Management of companies and enterprises,55,Maryland
56,Administrative and support and waste management and remediation services,6295,Maryland
61,Educational services,1396,Maryland
62,Health care and social assistance,11743,Maryland
71,"Arts, entertainment, and recreation",1438,Maryland
72,Accommodation and food services,6111,Maryland
81,Other services (except public administration),14192,Maryland
99,Industries not classified,178,Maryland
--,Total,140724,Massachusetts
11,"Agriculture, forestry, fishing and hunting",408,Massachusetts
21,"Mining, quarrying, and oil and gas extraction",0,Massachusetts
22,Utilities,40,Massachusetts
23,Construction,20673,Massachusetts
31-33,Manufacturing,4958,Massachusetts
42,Wholesale trade,6417,Massachusetts
44-45,Retail trade,18381,Massachusetts
48-49,Transportation and warehousing,2542,Massachusetts
51,Information,1690,Massachusetts
52,Finance and insurance,5790,Massachusetts
53,Real estate and rental and leasing,5965,Massachusetts
54,"Professional, scientific, and technical services",22436,Massachusetts
55,Management of companies and enterprises,110,Massachusetts
56,Administrative and support and waste management and remediation services,7528,Massachusetts
61,Educational services,1711,Massachusetts
62,Health care and social assistance,11356,Massachusetts
71,"Arts, entertainment, and recreation",2359,Massachusetts
72,Accommodation and food services,9692,Massachusetts
81,Other services (except public administration),18231,Massachusetts
99,Industries not classified,0,Massachusetts
--,Total,177655,Michigan
11,"Agriculture, forestry, fishing and hunting",658,Michigan
21,"Mining, quarrying, and oil and gas extraction",298,Michigan
22,Utilities,52,Michigan
23,Construction,22763,Michigan
31-33,Manufacturing,8146,Michigan
42,Wholesale trade,8269,Michigan
44-45,Retail trade,26913,Michigan
48-49,Transportation and warehousing,4184,Michigan
51,Information,1303,Michigan
52,Finance and insurance,8888,Michigan
53,Real estate and rental and leasing,7276,Michigan
54,"Professional, scientific, and technical services",21748,Michigan
55,Management of companies and enterprises,0,Michigan
56,Administrative and support and waste management and remediation services,8581,Michigan
61,Educational services,1512,Michigan
62,Health care and social assistance,18289,Michigan
71,"Arts, entertainment, and recreation",2595,Michigan
72,Accommodation and food services,9416,Michigan
81,Other services (except public administration),26250,Michigan
99,Industries not classified,408,Michigan
--,Total,111691,Minnesota
11,"Agriculture, forestry, fishing and hunting",453,Minnesota
21,"Mining, quarrying, and oil and gas extraction",107,Minnesota
22,Utilities,0,Minnesota
23,Construction,17736,Minnesota
31-33,Manufacturing,4812,Minnesota
42,Wholesale trade,5978,Minnesota
44-45,Retail trade,12153,Minnesota
48-49,Transportation and warehousing,3714,Minnesota
51,Information,1285,Minnesota
52,Finance and insurance,7528,Minnesota
53,Real estate and rental and leasing,5406,Minnesota
54,"Professional, scientific, and technical services",15559,Minnesota
55,Management of companies and enterprises,0,Minnesota
56,Administrative and support and waste management and remediation services,5625,Minnesota
61,Educational services,1259,Minnesota
62,Health care and social assistance,7740,Minnesota
71,"Arts, entertainment, and recreation",2260,Minnesota
72,Accommodation and food services,4398,Minnesota
81,Other services (except public administration),15462,Minnesota
99,Industries not classified,0,Minnesota
--,Total,47847,Mississippi
11,"Agriculture, forestry, fishing and hunting",691,Mississippi
21,"Mining, quarrying, and oil and gas extraction",0,Mississippi
22,Utilities,556,Mississippi
23,Construction,5055,Mississippi
31-33,Manufacturing,1389,Mississippi
42,Wholesale trade,1849,Mississippi
44-45,Retail trade,8394,Mississippi
48-49,Transportation and warehousing,1712,Mississippi
51,Information,292,Mississippi
52,Finance and insurance,3149,Mississippi
53,Real estate and rental and leasing,2586,Mississippi
54,"Professional, scientific, and technical services",4960,Mississippi
55,Management of companies and enterprises,0,Mississippi
56,Administrative and support and waste management and remediation services,1949,Mississippi
61,Educational services,332,Mississippi
62,Health care and social assistance,4136,Mississippi
71,"Arts, entertainment, and recreation",612,Mississippi
72,Accommodation and food services,2093,Mississippi
81,Other services (except public administration),7734,Mississippi
99,Industries not classified,0,Mississippi
--,Total,119010,Missouri
11,"Agriculture, forestry, fishing and hunting",298,Missouri
21,"Mining, quarrying, and oil and gas extraction",132,Missouri
22,Utilities,59,Missouri
23,Construction,16932,Missouri
31-33,Manufacturing,4474,Missouri
42,Wholesale trade,5620,Missouri
44-45,Retail trade,14122,Missouri
48-49,Transportation and warehousing,4270,Missouri
51,Information,1001,Missouri
52,Finance and insurance,7332,Missouri
53,Real estate and rental and leasing,6176,Missouri
54,"Professional, scientific, and technical services",13520,Missouri
55,Management of companies and enterprises,87,Missouri
56,Administrative and support and waste management and remediation services,6314,Missouri
61,Educational services,1012,Missouri
62,Health care and social assistance,11035,Missouri
71,"Arts, entertainment, and recreation",1649,Missouri
72,Accommodation and food services,5448,Missouri
81,Other services (except public administration),17552,Missouri
99,Industries not classified,0,Missouri
--,Total,32552,Montana
11,"Agriculture, forestry, fishing and hunting",449,Montana
21,"Mining, quarrying, and oil and gas extraction",233,Montana
22,Utilities,55,Montana
23,Construction,6715,Montana
31-33,Manufacturing,1119,Montana
42,Wholesale trade,940,Montana
44-45,Retail trade,3872,Montana
48-49,Transportation and warehousing,1137,Montana
51,Information,329,Montana
52,Finance and insurance,1575,Montana
53,Real estate and rental and leasing,1816,Montana
54,"Professional, scientific, and technical services",3659,Montana
55,Management of companies and enterprises,0,Montana
56,Administrative and support and waste management and remediation services,1556,Montana
61,Educational services,281,Montana
62,Health care and social assistance,2731,Montana
71,"Arts, entertainment, and recreation",762,Montana
72,Accommodation and food services,1815,Montana
81,Other services (except public administration),3451,Montana
99,Industries not classified,0,Montana
--,Total,41385,Nebraska
11,"Agriculture, forestry, fishing and hunting",169,Nebraska
21,"Mining, quarrying, and oil and gas extraction",100,Nebraska
22,Utilities,0,Nebraska
23,Construction,6550,Nebraska
31-33,Manufacturing,1252,Nebraska
42,Wholesale trade,1594,Nebraska
44-45,Retail trade,4952,Nebraska
48-49,Transportation and warehousing,2253,Nebraska
51,Information,397,Nebraska
52,Finance and insurance,2883,Nebraska
53,Real estate and rental and leasing,0,Nebraska
54,"Professional, scientific, and technical services",4058,Nebraska
55,Management of companies and enterprises,20,Nebraska
56,Administrative and support and waste management and remediation services,2147,Nebraska
61,Educational services,359,Nebraska
62,Health care and social assistance,3420,Nebraska
71,"Arts, entertainment, and recreation",723,Nebraska
72,Accommodation and food services,2157,Nebraska
81,Other services (except public administration),6423,Nebraska
99,Industries not classified,0,Nebraska
--,Total,43752,Nevada
11,"Agriculture, forestry, fishing and hunting",70,Nevada
21,"Mining, quarrying, and oil and gas extraction",0,Nevada
22,Utilities,0,Nevada
23,Construction,4741,Nevada
31-33,Manufacturing,1369,Nevada
42,Wholesale trade,1848,Nevada
44-45,Retail trade,4387,Nevada
48-49,Transportation and warehousing,951,Nevada
51,Information,658,Nevada
52,Finance and insurance,3010,Nevada
53,Real estate and rental and leasing,3600,Nevada
54,"Professional, scientific, and technical services",7244,Nevada
55,Management of companies and enterprises,168,Nevada
56,Administrative and support and waste management and remediation services,3437,Nevada
61,Educational services,421,Nevada
62,Health care and social assistance,4654,Nevada
71,"Arts, entertainment, and recreation",724,Nevada
72,Accommodation and food services,2129,Nevada
81,Other services (except public administration),4081,Nevada
99,Industries not classified,82,Nevada
--,Total,31160,New Hampshire
11,"Agriculture, forestry, fishing and hunting",0,New Hampshire
21,"Mining, quarrying, and oil and gas extraction",44,New Hampshire
22,Utilities,35,New Hampshire
23,Construction,5212,New Hampshire
31-33,Manufacturing,1408,New Hampshire
42,Wholesale trade,1374,New Hampshire
44-45,Retail trade,3989,New Hampshire
48-49,Transportation and warehousing,725,New Hampshire
51,Information,333,New Hampshire
52,Finance and insurance,1097,New Hampshire
53,Real estate and rental and leasing,1438,New Hampshire
54,"Professional, scientific, and technical services",4204,New Hampshire
55,Management of companies and enterprises,0,New Hampshire
56,Administrative and support and waste management and remediation services,1956,New Hampshire
61,Educational services,413,New Hampshire
62,Health care and social assistance,2314,New Hampshire
71,"Arts, entertainment, and recreation",570,New Hampshire
72,Accommodation and food services,1640,New Hampshire
81,Other services (except public administration),4167,New Hampshire
99,Industries not classified,0,New Hampshire
--,Total,215666,New Jersey
11,"Agriculture, forestry, fishing and hunting",0,New Jersey
21,"Mining, quarrying, and oil and gas extraction",54,New Jersey
22,Utilities,0,New Jersey
23,Construction,27612,New Jersey
31-33,Manufacturing,6225,New Jersey
42,Wholesale trade,13643,New Jersey
44-45,Retail trade,28868,New Jersey
48-49,Transportation and warehousing,5757,New Jersey
51,Information,1896,New Jersey
52,Finance and insurance,7477,New Jersey
53,Real estate and rental and leasing,9017,New Jersey
54,"Professional, scientific, and technical services",32968,New Jersey
55,Management of companies and enterprises,0,New Jersey
56,Administrative and support and waste management and remediation services,11195,New Jersey
61,Educational services,2257,New Jersey
62,Health care and social assistance,21921,New Jersey
71,"Arts, entertainment, and recreation",2653,New Jersey
72,Accommodation and food services,15207,New Jersey
81,Other services (except public administration),28294,New Jersey
99,Industries not classified,0,New Jersey
--,Total,35732,New Mexico
11,"Agriculture, forestry, fishing and hunting",109,New Mexico
21,"Mining, quarrying, and oil and gas extraction",434,New Mexico
22,Utilities,192,New Mexico
23,Construction,5582,New Mexico
31-33,Manufacturing,1266,New Mexico
42,Wholesale trade,1259,New Mexico
44-45,Retail trade,4477,New Mexico
48-49,Transportation and warehousing,1108,New Mexico
51,Information,419,New Mexico
52,Finance and insurance,1940,New Mexico
53,Real estate and rental and leasing,2335,New Mexico
54,"Professional, scientific, and technical services",4743,New Mexico
55,Management of companies and enterprises,0,New Mexico
56,Administrative and support and waste management and remediation services,1607,New Mexico
61,Educational services,434,New Mexico
62,Health care and social assistance,3267,New Mexico
71,"Arts, entertainment, and recreation",576,New Mexico
72,Accommodation and food services,1684,New Mexico
81,Other services (except public administration),4250,New Mexico
99,Industries not classified,44,New Mexico
--,Total,474787,New York
11,"Agriculture, forestry, fishing and hunting",724,New York
21,"Mining, quarrying, and oil and gas extraction",257,New York
22,Utilities,0,New York
23,Construction,51010,New York
31-33,Manufacturing,14143,New York
42,Wholesale trade,32684,New York
44-45,Retail trade,68974,New York
48-49,Transportation and warehousing,9976,New York
51,Information,6320,New York
52,Finance and insurance,17993,New York
53,Real estate and rental and leasing,34499,New York
54,"Professional, scientific, and technical services",60408,New York
55,Management of companies and enterprises,0,New York
56,Administrative and support and waste management and remediation services,21651,New York
61,Educational services,4498,New York
62,Health care and social assistance,45038,New York
