NAICS Code,NAICS Description,Total Employment,State
52,Finance & insurance,139164,Connecticut
53,Real estate & rental & leasing,22082,Connecticut
54,"Professional, scientific, & technical services",100002,Connecticut
55,Management of companies & enterprises,44086,Connecticut
56,Administrative & support & waste management & remediation serv,100261,Connecticut
61,Educational services,54033,Connecticut
62,Health care & social assistance,225990,Connecticut
71,"Arts, entertainment, & recreation",41161,Connecticut
72,Accommodation & foodservices,98980,Connecticut
81,Other services (except public administration),65020,Connecticut
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",18268,Connecticut
99,Unclassified,672,Connecticut
--,Total,389304,Delaware
11,"Agriculture, forestry, fishing, & hunting",229,Delaware
21,Mining,230,Delaware
22,Utilities,2548,Delaware
23,Construction,22263,Delaware
31-33,Manufacturing,38872,Delaware
42,Wholesale trade,22654,Delaware
44-45,Retail Trade,53970,Delaware
48-49,Transportation & Warehousing,7260,Delaware
51,Information,9129,Delaware
52,Finance & insurance,49403,Delaware
53,Real estate & rental & leasing,5465,Delaware
54,"Professional, scientific, & technical services",19482,Delaware
55,Management of companies & enterprises,20703,Delaware
56,Administrative & support & waste management & remediation serv,25599,Delaware
61,Educational services,6356,Delaware
62,Health care & social assistance,46551,Delaware
71,"Arts, entertainment, & recreation",7810,Delaware
72,Accommodation & foodservices,27171,Delaware
81,Other services (except public administration),17127,Delaware
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",6231,Delaware
99,Unclassified,251,Delaware
--,Total,418755,District of Columbia
11,"Agriculture, forestry, fishing, & hunting",[a],District of Columbia
21,Mining,[a],District of Columbia
22,Utilities,2319,District of Columbia
23,Construction,6288,District of Columbia
31-33,Manufacturing,2128,District of Columbia
42,Wholesale trade,5124,District of Columbia
44-45,Retail Trade,19410,District of Columbia
48-49,Transportation & Warehousing,3247,District of Columbia
51,Information,24989,District of Columbia
52,Finance & insurance,18971,District of Columbia
53,Real estate & rental & leasing,8351,District of Columbia
54,"Professional, scientific, & technical services",84447,District of Columbia
55,Management of companies & enterprises,4484,District of Columbia
56,Administrative & support & waste management & remediation serv,26733,District of Columbia
61,Educational services,43813,District of Columbia
62,Health care & social assistance,60238,District of Columbia
71,"Arts, entertainment, & recreation",5622,District of Columbia
72,Accommodation & foodservices,41406,District of Columbia
81,Other services (except public administration),59552,District of Columbia
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",[g],District of Columbia
99,Unclassified,[c],District of Columbia
--,Total,6366964,Florida
11,"Agriculture, forestry, fishing, & hunting",13873,Florida
21,Mining,6627,Florida
22,Utilities,30240,Florida
23,Construction,379018,Florida
31-33,Manufacturing,372256,Florida
42,Wholesale trade,300242,Florida
44-45,Retail Trade,908648,Florida
48-49,Transportation & Warehousing,176901,Florida
51,Information,183164,Florida
52,Finance & insurance,366076,Florida
53,Real estate & rental & leasing,140137,Florida
54,"Professional, scientific, & technical services",403902,Florida
55,Management of companies & enterprises,131316,Florida
56,Administrative & support & waste management & remediation serv,954424,Florida
61,Educational services,106611,Florida
62,Health care & social assistance,783597,Florida
71,"Arts, entertainment, & recreation",134600,Florida
72,Accommodation & foodservices,621996,Florida
81,Other services (except public administration),302966,Florida
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",49047,Florida
99,Unclassified,1323,Florida
--,Total,3381244,Georgia
11,"Agriculture, forestry, fishing, & hunting",[i],Georgia
21,Mining,6765,Georgia
22,Utilities,23825,Georgia
23,Construction,186665,Georgia
31-33,Manufacturing,449849,Georgia
42,Wholesale trade,195861,Georgia
44-45,Retail Trade,459597,Georgia
48-49,Transportation & Warehousing,119443,Georgia
51,Information,138555,Georgia
52,Finance & insurance,180197,Georgia
53,Real estate & rental & leasing,59130,Georgia
54,"Professional, scientific, & technical services",204197,Georgia
55,Management of companies & enterprises,98125,Georgia
56,Administrative & support & waste management & remediation serv,282607,Georgia
61,Educational services,71580,Georgia
62,Health care & social assistance,371414,Georgia
71,"Arts, entertainment, & recreation",35067,Georgia
72,Accommodation & foodservices,298695,Georgia
81,Other services (except public administration),149160,Georgia
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",39955,Georgia
99,Unclassified,[f],Georgia
--,Total,439934,Hawaii
11,"Agriculture, forestry, fishing, & hunting",[e],Hawaii
21,Mining,[c],Hawaii
22,Utilities,2482,Hawaii
23,Construction,24048,Hawaii
31-33,Manufacturing,13365,Hawaii
42,Wholesale trade,18641,Hawaii
44-45,Retail Trade,63968,Hawaii
48-49,Transportation & Warehousing,21511,Hawaii
51,Information,9679,Hawaii
52,Finance & insurance,19017,Hawaii
53,Real estate & rental & leasing,15866,Hawaii
54,"Professional, scientific, & technical services",19947,Hawaii
55,Management of companies & enterprises,5033,Hawaii
56,Administrative & support & waste management & remediation serv,34419,Hawaii
61,Educational services,15776,Hawaii
62,Health care & social assistance,52850,Hawaii
71,"Arts, entertainment, & recreation",9965,Hawaii
72,Accommodation & foodservices,84529,Hawaii
81,Other services (except public administration),24420,Hawaii
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3771,Hawaii
99,Unclassified,[b],Hawaii
--,Total,453552,Idaho
11,"Agriculture, forestry, fishing, & hunting",3614,Idaho
21,Mining,1721,Idaho
22,Utilities,3455,Idaho
23,Construction,30598,Idaho
31-33,Manufacturing,59984,Idaho
42,Wholesale trade,25772,Idaho
44-45,Retail Trade,70225,Idaho
48-49,Transportation & Warehousing,12076,Idaho
51,Information,11553,Idaho
52,Finance & insurance,18449,Idaho
53,Real estate & rental & leasing,5307,Idaho
54,"Professional, scientific, & technical services",34455,Idaho
55,Management of companies & enterprises,9722,Idaho
56,Administrative & support & waste management & remediation serv,27860,Idaho
61,Educational services,7398,Idaho
62,Health care & social assistance,59394,Idaho
71,"Arts, entertainment, & recreation",6942,Idaho
72,Accommodation & foodservices,44893,Idaho
81,Other services (except public administration),18148,Idaho
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",1904,Idaho
99,Unclassified,82,Idaho
--,Total,5224293,Illinois
11,"Agriculture, forestry, fishing, & hunting",2647,Illinois
21,Mining,9803,Illinois
22,Utilities,34059,Illinois
23,Construction,249715,Illinois
31-33,Manufacturing,726681,Illinois
42,Wholesale trade,322579,Illinois
44-45,Retail Trade,598626,Illinois
48-49,Transportation & Warehousing,198476,Illinois
51,Information,141030,Illinois
52,Finance & insurance,352322,Illinois
53,Real estate & rental & leasing,88114,Illinois
54,"Professional, scientific, & technical services",334517,Illinois
55,Management of companies & enterprises,176626,Illinois
56,Administrative & support & waste management & remediation serv,422207,Illinois
61,Educational services,123813,Illinois
62,Health care & social assistance,655508,Illinois
71,"Arts, entertainment, & recreation",74547,Illinois
72,Accommodation & foodservices,409906,Illinois
81,Other services (except public administration),260622,Illinois
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",41718,Illinois
99,Unclassified,777,Illinois
--,Total,2517180,Indiana
11,"Agriculture, forestry, fishing, & hunting",1878,Indiana
21,Mining,5693,Indiana
22,Utilities,15322,Indiana
23,Construction,137090,Indiana
31-33,Manufacturing,551560,Indiana
42,Wholesale trade,113487,Indiana
44-45,Retail Trade,344670,Indiana
48-49,Transportation & Warehousing,86769,Indiana
51,Information,46161,Indiana
52,Finance & insurance,106641,Indiana
53,Real estate & rental & leasing,35543,Indiana
54,"Professional, scientific, & technical services",93517,Indiana
55,Management of companies & enterprises,45663,Indiana
56,Administrative & support & waste management & remediation serv,136589,Indiana
61,Educational services,50176,Indiana
62,Health care & social assistance,332091,Indiana
71,"Arts, entertainment, & recreation",39345,Indiana
72,Accommodation & foodservices,222565,Indiana
81,Other services (except public administration),132290,Indiana
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",19699,Indiana
99,Unclassified,431,Indiana
--,Total,1229609,Iowa
11,"Agriculture, forestry, fishing, & hunting",1786,Iowa
21,Mining,1762,Iowa
22,Utilities,7344,Iowa
23,Construction,57740,Iowa
31-33,Manufacturing,222501,Iowa
42,Wholesale trade,61706,Iowa
44-45,Retail Trade,176903,Iowa
48-49,Transportation & Warehousing,39490,Iowa
51,Information,41887,Iowa
52,Finance & insurance,83565,Iowa
53,Real estate & rental & leasing,14418,Iowa
54,"Professional, scientific, & technical services",39933,Iowa
55,Management of companies & enterprises,23173,Iowa
56,Administrative & support & waste management & remediation serv,57901,Iowa
61,Educational services,32193,Iowa
62,Health care & social assistance,182498,Iowa
71,"Arts, entertainment, & recreation",19874,Iowa
72,Accommodation & foodservices,103784,Iowa
81,Other services (except public administration),53656,Iowa
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",7355,Iowa
99,Unclassified,140,Iowa
--,Total,1098894,Kansas
11,"Agriculture, forestry, fishing, & hunting",777,Kansas
21,Mining,6795,Kansas
22,Utilities,6614,Kansas
23,Construction,63649,Kansas
31-33,Manufacturing,178669,Kansas
42,Wholesale trade,54867,Kansas
44-45,Retail Trade,149323,Kansas
48-49,Transportation & Warehousing,35465,Kansas
51,Information,46985,Kansas
52,Finance & insurance,55555,Kansas
53,Real estate & rental & leasing,15234,Kansas
54,"Professional, scientific, & technical services",53603,Kansas
55,Management of companies & enterprises,23750,Kansas
56,Administrative & support & waste management & remediation serv,61682,Kansas
61,Educational services,18182,Kansas
62,Health care & social assistance,160081,Kansas
71,"Arts, entertainment, & recreation",14054,Kansas
72,Accommodation & foodservices,93969,Kansas
81,Other services (except public administration),54073,Kansas
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",5363,Kansas
99,Unclassified,204,Kansas
--,Total,1462517,Kentucky
11,"Agriculture, forestry, fishing, & hunting",2112,Kentucky
21,Mining,20956,Kentucky
22,Utilities,7711,Kentucky
23,Construction,79186,Kentucky
31-33,Manufacturing,260299,Kentucky
42,Wholesale trade,70014,Kentucky
44-45,Retail Trade,215141,Kentucky
48-49,Transportation & Warehousing,60754,Kentucky
51,Information,28571,Kentucky
52,Finance & insurance,66664,Kentucky
53,Real estate & rental & leasing,18292,Kentucky
54,"Professional, scientific, & technical services",56633,Kentucky
55,Management of companies & enterprises,30076,Kentucky
56,Administrative & support & waste management & remediation serv,71155,Kentucky
61,Educational services,26756,Kentucky
62,Health care & social assistance,217628,Kentucky
71,"Arts, entertainment, & recreation",15684,Kentucky
72,Accommodation & foodservices,135844,Kentucky
81,Other services (except public administration),67450,Kentucky
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",11320,Kentucky
99,Unclassified,271,Kentucky
--,Total,1583308,Louisiana
11,"Agriculture, forestry, fishing, & hunting",5412,Louisiana
21,Mining,44132,Louisiana
22,Utilities,12784,Louisiana
23,Construction,116431,Louisiana
31-33,Manufacturing,149173,Louisiana
42,Wholesale trade,74929,Louisiana
44-45,Retail Trade,228170,Louisiana
48-49,Transportation & Warehousing,59477,Louisiana
51,Information,29184,Louisiana
52,Finance & insurance,66314,Louisiana
53,Real estate & rental & leasing,32238,Louisiana
54,"Professional, scientific, & technical services",79488,Louisiana
55,Management of companies & enterprises,15532,Louisiana
56,Administrative & support & waste management & remediation serv,103732,Louisiana
61,Educational services,33346,Louisiana
62,Health care & social assistance,245606,Louisiana
71,"Arts, entertainment, & recreation",32477,Louisiana
72,Accommodation & foodservices,165326,Louisiana
81,Other services (except public administration),82012,Louisiana
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",6702,Louisiana
99,Unclassified,843,Louisiana
--,Total,486766,Maine
11,"Agriculture, forestry, fishing, & hunting",3597,Maine
21,Mining,[b],Maine
22,Utilities,2770,Maine
23,Construction,25346,Maine
31-33,Manufacturing,65440,Maine
42,Wholesale trade,20591,Maine
44-45,Retail Trade,80264,Maine
48-49,Transportation & Warehousing,10172,Maine
51,Information,14169,Maine
52,Finance & insurance,26076,Maine
53,Real estate & rental & leasing,6211,Maine
54,"Professional, scientific, & technical services",22031,Maine
55,Management of companies & enterprises,9122,Maine
56,Administrative & support & waste management & remediation serv,24643,Maine
61,Educational services,13378,Maine
62,Health care & social assistance,90133,Maine
71,"Arts, entertainment, & recreation",6222,Maine
72,Accommodation & foodservices,43358,Maine
81,Other services (except public administration),19381,Maine
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3708,Maine
99,Unclassified,[b],Maine
--,Total,2062515,Maryland
11,"Agriculture, forestry, fishing, & hunting",937,Maryland
21,Mining,1944,Maryland
22,Utilities,10860,Maryland
23,Construction,162891,Maryland
31-33,Manufacturing,145328,Maryland
42,Wholesale trade,93363,Maryland
44-45,Retail Trade,288780,Maryland
48-49,Transportation & Warehousing,53206,Maryland
51,Information,67321,Maryland
52,Finance & insurance,118762,Maryland
53,Real estate & rental & leasing,46495,Maryland
54,"Professional, scientific, & technical services",198181,Maryland
55,Management of companies & enterprises,54867,Maryland
56,Administrative & support & waste management & remediation serv,142970,Maryland
61,Educational services,61224,Maryland
62,Health care & social assistance,276941,Maryland
71,"Arts, entertainment, & recreation",29342,Maryland
72,Accommodation & foodservices,174466,Maryland
81,Other services (except public administration),115754,Maryland
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",18665,Maryland
99,Unclassified,218,Maryland
--,Total,3023126,Massachusetts
11,"Agriculture, forestry, fishing, & hunting",1056,Massachusetts
21,Mining,1254,Massachusetts
22,Utilities,13271,Massachusetts
23,Construction,130324,Massachusetts
31-33,Manufacturing,330380,Massachusetts
42,Wholesale trade,149414,Massachusetts
44-45,Retail Trade,361177,Massachusetts
48-49,Transportation & Warehousing,66782,Massachusetts
51,Information,120479,Massachusetts
52,Finance & insurance,226069,Massachusetts
53,Real estate & rental & leasing,48447,Massachusetts
54,"Professional, scientific, & technical services",238817,Massachusetts
55,Management of companies & enterprises,77260,Massachusetts
56,Administrative & support & waste management & remediation serv,187815,Massachusetts
61,Educational services,170326,Massachusetts
62,Health care & social assistance,464340,Massachusetts
71,"Arts, entertainment, & recreation",44894,Massachusetts
72,Accommodation & foodservices,237586,Massachusetts
81,Other services (except public administration),128279,Massachusetts
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",20733,Massachusetts
99,Unclassified,4423,Massachusetts
--,Total,3889825,Michigan
11,"Agriculture, forestry, fishing, & hunting",3471,Michigan
21,Mining,5150,Michigan
22,Utilities,24421,Michigan
23,Construction,177445,Michigan
31-33,Manufacturing,690655,Michigan
42,Wholesale trade,175176,Michigan
44-45,Retail Trade,524252,Michigan
48-49,Transportation & Warehousing,88920,Michigan
51,Information,92463,Michigan
52,Finance & insurance,171023,Michigan
53,Real estate & rental & leasing,60929,Michigan
54,"Professional, scientific, & technical services",220283,Michigan
55,Management of companies & enterprises,154418,Michigan
56,Administrative & support & waste management & remediation serv,289529,Michigan
61,Educational services,61891,Michigan
62,Health care & social assistance,512745,Michigan
71,"Arts, entertainment, & recreation",52087,Michigan
72,Accommodation & foodservices,331587,Michigan
81,Other services (except public administration),181463,Michigan
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",71084,Michigan
99,Unclassified,833,Michigan
--,Total,2359593,Minnesota
11,"Agriculture, forestry, fishing, & hunting",2326,Minnesota
21,Mining,5230,Minnesota
22,Utilities,12492,Minnesota
23,Construction,117308,Minnesota
31-33,Manufacturing,336128,Minnesota
42,Wholesale trade,131012,Minnesota
44-45,Retail Trade,310026,Minnesota
48-49,Transportation & Warehousing,71996,Minnesota
51,Information,63816,Minnesota
52,Finance & insurance,144395,Minnesota
53,Real estate & rental & leasing,36792,Minnesota
54,"Professional, scientific, & technical services",119240,Minnesota
55,Management of companies & enterprises,101578,Minnesota
56,Administrative & support & waste management & remediation serv,132438,Minnesota
61,Educational services,52784,Minnesota
62,Health care & social assistance,344188,Minnesota
71,"Arts, entertainment, & recreation",41156,Minnesota
72,Accommodation & foodservices,198460,Minnesota
81,Other services (except public administration),123241,Minnesota
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",14746,Minnesota
99,Unclassified,241,Minnesota
--,Total,904252,Mississippi
11,"Agriculture, forestry, fishing, & hunting",[i],Mississippi
21,Mining,4437,Mississippi
22,Utilities,8465,Mississippi
23,Construction,47517,Mississippi
31-33,Manufacturing,182905,Mississippi
42,Wholesale trade,35289,Mississippi
44-45,Retail Trade,138866,Mississippi
48-49,Transportation & Warehousing,24046,Mississippi
51,Information,17023,Mississippi
52,Finance & insurance,34152,Mississippi
53,Real estate & rental & leasing,9891,Mississippi
54,"Professional, scientific, & technical services",30367,Mississippi
55,Management of companies & enterprises,8575,Mississippi
56,Administrative & support & waste management & remediation serv,41772,Mississippi
61,Educational services,16007,Mississippi
62,Health care & social assistance,131089,Mississippi
71,"Arts, entertainment, & recreation",19415,Mississippi
72,Accommodation & foodservices,100700,Mississippi
81,Other services (except public administration),41874,Mississippi
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",5878,Mississippi
99,Unclassified,[e],Mississippi
--,Total,2354230,Missouri
11,"Agriculture, forestry, fishing, & hunting",1381,Missouri
21,Mining,4427,Missouri
22,Utilities,15637,Missouri
23,Construction,137265,Missouri
31-33,Manufacturing,307578,Missouri
42,Wholesale trade,132945,Missouri
44-45,Retail Trade,312562,Missouri
48-49,Transportation & Warehousing,78994,Missouri
51,Information,74179,Missouri
52,Finance & insurance,139995,Missouri
53,Real estate & rental & leasing,39693,Missouri
54,"Professional, scientific, & technical services",123952,Missouri
55,Management of companies & enterprises,63007,Missouri
56,Administrative & support & waste management & remediation serv,137093,Missouri
61,Educational services,62412,Missouri
62,Health care & social assistance,338386,Missouri
71,"Arts, entertainment, & recreation",35815,Missouri
72,Accommodation & foodservices,214111,Missouri
81,Other services (except public administration),118549,Missouri
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",14888,Missouri
99,Unclassified,1361,Missouri
--,Total,300636,Montana
11,"Agriculture, forestry, fishing, & hunting",1702,Montana
21,Mining,4701,Montana
22,Utilities,2831,Montana
23,Construction,18125,Montana
31-33,Manufacturing,18777,Montana
42,Wholesale trade,14254,Montana
44-45,Retail Trade,54394,Montana
48-49,Transportation & Warehousing,9140,Montana
51,Information,9433,Montana
52,Finance & insurance,14323,Montana
53,Real estate & rental & leasing,4791,Montana
54,"Professional, scientific, & technical services",15491,Montana
55,Management of companies & enterprises,1472,Montana
56,Administrative & support & waste management & remediation serv,11872,Montana
61,Educational services,5219,Montana
62,Health care & social assistance,50682,Montana
71,"Arts, entertainment, & recreation",7522,Montana
72,Accommodation & foodservices,40568,Montana
81,Other services (except public administration),14799,Montana
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",486,Montana
99,Unclassified,54,Montana
--,Total,749098,Nebraska
11,"Agriculture, forestry, fishing, & hunting",[f],Nebraska
21,Mining,929,Nebraska
22,Utilities,2557,Nebraska
23,Construction,40392,Nebraska
31-33,Manufacturing,102447,Nebraska
42,Wholesale trade,40133,Nebraska
44-45,Retail Trade,107446,Nebraska
48-49,Transportation & Warehousing,27238,Nebraska
51,Information,25897,Nebraska
52,Finance & insurance,53891,Nebraska
53,Real estate & rental & leasing,9677,Nebraska
54,"Professional, scientific, & technical services",34735,Nebraska
55,Management of companies & enterprises,16150,Nebraska
56,Administrative & support & waste management & remediation serv,54441,Nebraska
61,Educational services,17826,Nebraska
62,Health care & social assistance,103931,Nebraska
71,"Arts, entertainment, & recreation",9169,Nebraska
72,Accommodation & foodservices,62124,Nebraska
81,Other services (except public administration),35947,Nebraska
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",3271,Nebraska
99,Unclassified,[b],Nebraska
--,Total,936225,Nevada
11,"Agriculture, forestry, fishing, & hunting",260,Nevada
21,Mining,8202,Nevada
22,Utilities,5717,Nevada
23,Construction,86937,Nevada
31-33,Manufacturing,38784,Nevada
42,Wholesale trade,32924,Nevada
44-45,Retail Trade,113982,Nevada
48-49,Transportation & Warehousing,29732,Nevada
51,Information,17553,Nevada
52,Finance & insurance,34623,Nevada
53,Real estate & rental & leasing,21040,Nevada
54,"Professional, scientific, & technical services",45410,Nevada
55,Management of companies & enterprises,9276,Nevada
56,Administrative & support & waste management & remediation serv,78603,Nevada
61,Educational services,4590,Nevada
62,Health care & social assistance,75139,Nevada
71,"Arts, entertainment, & recreation",28681,Nevada
72,Accommodation & foodservices,269300,Nevada
81,Other services (except public administration),30199,Nevada
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",5034,Nevada
99,Unclassified,239,Nevada
--,Total,550725,New Hampshire
11,"Agriculture, forestry, fishing, & hunting",995,New Hampshire
21,Mining,507,New Hampshire
22,Utilities,3278,New Hampshire
23,Construction,27294,New Hampshire
31-33,Manufacturing,86981,New Hampshire
42,Wholesale trade,23023,New Hampshire
44-45,Retail Trade,93979,New Hampshire
48-49,Transportation & Warehousing,14052,New Hampshire
51,Information,14455,New Hampshire
52,Finance & insurance,26416,New Hampshire
53,Real estate & rental & leasing,7739,New Hampshire
54,"Professional, scientific, & technical services",26016,New Hampshire
55,Management of companies & enterprises,7466,New Hampshire
56,Administrative & support & waste management & remediation serv,37500,New Hampshire
61,Educational services,24303,New Hampshire
62,Health care & social assistance,74732,New Hampshire
71,"Arts, entertainment, & recreation",9025,New Hampshire
72,Accommodation & foodservices,48345,New Hampshire
81,Other services (except public administration),22489,New Hampshire
95,"Auxiliaries, exc corp, subsidiary, & regional managing offices",2067,New Hampshire
99,Unclassified,63,New Hampshire
--,Total,3596919,New Jersey
